,open,high,low,close,vwap,volume,count
1538092800,0.3,0.302,0.08215,0.084,0.089795,3507243.16806649,956.0
1538179200,0.084,0.094,0.080924,0.084969,0.084932,2436480.09959988,516.0
1538265600,0.0845,0.091849,0.0832,0.085512,0.08598,1510003.36721498,362.0
1538352000,0.085512,0.089969,0.081956,0.084921,0.084492,2334574.92451587,542.0
1538438400,0.084921,0.085138,0.081,0.081271,0.08343,1486914.48867996,415.0
1538524800,0.0822,0.08788,0.073,0.079699,0.079803,1698290.68680606,437.0
1538611200,0.080449,0.09,0.0803,0.081665,0.082912,2279961.25173851,606.0
1538697600,0.081665,0.084378,0.080024,0.083434,0.081774,1097331.97608557,298.0
1538784000,0.083434,0.083538,0.080403,0.08085,0.081541,1000543.85625406,258.0
1538870400,0.08085,0.0872,0.0802,0.08462,0.082924,1162986.52545518,265.0
1538956800,0.08462,0.088849,0.0805,0.086797,0.085952,1997133.53757279,453.0
1539043200,0.086797,0.087597,0.0841,0.086164,0.086214,1217168.56551525,218.0
1539129600,0.086339,0.08634,0.082763,0.08454,0.084352,1507387.84469686,290.0
1539216000,0.08454,0.08454,0.069,0.069801,0.074779,5577459.60069914,1233.0
1539302400,0.069801,0.075635,0.068501,0.072493,0.072993,1585987.44897974,420.0
1539388800,0.072493,0.074027,0.071409,0.072321,0.072388,916719.1191163,175.0
1539475200,0.072321,0.07331,0.066,0.07015,0.071172,962108.56990396,248.0
1539561600,0.07015,0.077,0.0685,0.073273,0.072276,5257543.84303179,1117.0
1539648000,0.073273,0.08199,0.072644,0.074699,0.074459,1695675.31857333,288.0
1539734400,0.074699,0.078998,0.07402,0.076399,0.075858,2156622.33669525,423.0
1539820800,0.076399,0.0773,0.0725,0.074484,0.074998,1599729.78770928,342.0
1539907200,0.074484,0.0756,0.073116,0.075185,0.074151,1181123.78176985,271.0
1539993600,0.075185,0.077499,0.074,0.07585,0.075661,1792644.14433546,317.0
1540080000,0.07585,0.076771,0.07535,0.07535,0.075989,602414.21739929,140.0
1540166400,0.07535,0.076075,0.074459,0.075237,0.075,452778.39776178,248.0
1540252800,0.075237,0.077449,0.07,0.0741,0.073326,1783492.94580604,421.0
1540339200,0.0741,0.076999,0.0734,0.0734,0.074123,850553.3779004,201.0
1540425600,0.0734,0.073871,0.072699,0.0734,0.07325,407334.13518192,126.0
1540512000,0.0734,0.073767,0.071948,0.07322,0.073063,769190.20378309,243.0
1540598400,0.07322,0.073481,0.072404,0.072796,0.072848,404165.75897046,115.0
1540684800,0.072796,0.072956,0.072101,0.0726,0.072524,310020.34339524,92.0
1540771200,0.0726,0.073143,0.068001,0.069399,0.070101,2474326.11733029,512.0
1540857600,0.06959,0.077,0.068794,0.0697,0.070751,1538958.29422481,289.0
1540944000,0.0697,0.070491,0.068,0.069731,0.068849,1047675.07638037,283.0
1541030400,0.069731,0.071041,0.0692,0.070765,0.070164,602823.17295555,168.0
1541116800,0.070765,0.073,0.070496,0.0724,0.071406,906477.73785538,186.0
1541203200,0.0724,0.0724,0.070366,0.070993,0.071513,622592.72268687,129.0
1541289600,0.070993,0.077898,0.070993,0.077407,0.07593,5677775.72166208,866.0
1541376000,0.077407,0.078821,0.074633,0.076248,0.076437,1776122.48795335,288.0
1541462400,0.076248,0.0811,0.076248,0.080824,0.078725,2803153.93878645,720.0
1541548800,0.080824,0.081674,0.077,0.0785,0.079186,2643876.15553284,470.0
1541635200,0.0785,0.079,0.076,0.076,0.077244,2043598.17724542,347.0
1541721600,0.076,0.0772,0.073252,0.0737,0.075351,1850667.52092955,462.0
1541808000,0.0737,0.079,0.073208,0.074699,0.075493,1058437.53132674,286.0
1541894400,0.074699,0.077223,0.074,0.0763,0.075399,2282732.92548292,470.0
1541980800,0.0763,0.076799,0.074517,0.075787,0.075734,968830.28209123,249.0
1542067200,0.075787,0.075787,0.072211,0.073,0.073954,2155891.28008145,532.0
1542153600,0.073,0.073,0.059,0.063304,0.06553,7963706.10694362,1691.0
1542240000,0.063304,0.066875,0.056,0.062599,0.060008,6010398.11590645,974.0
1542326400,0.062599,0.06269,0.058653,0.06022,0.060829,1886917.35391213,473.0
1542412800,0.06022,0.060298,0.058578,0.059919,0.059671,1765655.83876155,425.0
1542499200,0.060004,0.062639,0.060004,0.060815,0.061199,1084054.58483269,254.0
1542585600,0.060971,0.075,0.053,0.057995,0.057314,6439299.22962363,1203.0
1542672000,0.057995,0.06244,0.04246,0.045001,0.048377,9034674.9966293,1823.0
1542758400,0.045001,0.049796,0.04328,0.047672,0.045619,3921085.73936226,647.0
1542844800,0.047612,0.047994,0.044602,0.044602,0.045902,2536537.86129774,636.0
1542931200,0.044602,0.045862,0.040819,0.043199,0.042125,2272984.15515759,383.0
1543017600,0.043199,0.04655,0.032,0.035786,0.039439,5700063.61548754,781.0
1543104000,0.037564,0.0383,0.027,0.037099,0.034624,9840089.5403343,1110.0
1543190400,0.037099,0.0389,0.032,0.034923,0.034576,11307326.50359188,1260.0
1543276800,0.034986,0.0365,0.031,0.0361,0.034332,4105793.40020041,510.0
1543363200,0.0361,0.05,0.036095,0.041753,0.041066,11135092.50197642,1763.0
1543449600,0.041753,0.0455,0.0393,0.041465,0.041656,6206078.47093279,749.0
1543536000,0.041465,0.04207,0.037,0.0386,0.038504,3128426.37993043,472.0
1543622400,0.0386,0.04395,0.037567,0.040927,0.041148,5764729.02753625,672.0
1543708800,0.040927,0.044,0.03984,0.0412,0.04153,2333091.43273152,272.0
1543795200,0.041318,0.042023,0.0375,0.038007,0.039086,2178125.8779986,314.0
1543881600,0.038007,0.04379,0.035332,0.036948,0.038287,7647726.22034821,718.0
1543968000,0.036948,0.037,0.033315,0.03375,0.035086,6937032.00645556,570.0
1544054400,0.03375,0.0375,0.03,0.030218,0.033563,6551113.15401943,624.0
1544140800,0.030218,0.0345,0.025601,0.029453,0.029251,13246365.22969493,1097.0
1544227200,0.029453,0.031701,0.028492,0.030983,0.030212,3146583.45883665,492.0
1544313600,0.030983,0.032426,0.02952,0.031198,0.03069,1555854.7936121,302.0
1544400000,0.031198,0.0315,0.029131,0.029635,0.029972,2956745.11509149,374.0
1544486400,0.029635,0.029991,0.028299,0.028968,0.029015,3506004.42073996,377.0
1544572800,0.028968,0.0308,0.028702,0.03,0.030134,1634084.37676346,215.0
1544659200,0.03,0.030349,0.0284,0.028674,0.029211,2929185.87812695,286.0
1544745600,0.028674,0.029483,0.027002,0.028093,0.028113,3246095.03604096,291.0
1544832000,0.028093,0.028239,0.02732,0.0278,0.027753,2768418.20987525,227.0
1544918400,0.0278,0.029394,0.027723,0.028723,0.028697,2977818.93168696,307.0
1545004800,0.028723,0.034895,0.028723,0.032545,0.032015,7797358.70963724,621.0
1545091200,0.032545,0.03489,0.031309,0.03442,0.032783,4655709.75796279,437.0
1545177600,0.03442,0.0399,0.0339,0.0339,0.035655,9882301.30715414,948.0
1545264000,0.0339,0.04,0.033655,0.038798,0.03747,6909369.40360438,750.0
1545350400,0.038798,0.044804,0.038,0.040499,0.041281,9252733.78285681,1318.0
1545436800,0.040499,0.041899,0.038148,0.041899,0.040233,3349474.71101464,656.0
1545523200,0.041899,0.044654,0.041272,0.043898,0.042996,6565522.49225296,749.0
1545609600,0.043898,0.0494,0.043898,0.0454,0.046755,7791584.46323188,1020.0
1545696000,0.0454,0.0454,0.038884,0.041286,0.040788,5213518.82563185,805.0
1545782400,0.041286,0.042993,0.038684,0.040833,0.040949,1535584.93341858,638.0
1545868800,0.040833,0.0412,0.035908,0.036362,0.037727,4893905.11324049,801.0
1545955200,0.036362,0.042982,0.036003,0.041372,0.040219,4808177.64037386,761.0
1546041600,0.041372,0.04495,0.03999,0.0407,0.042375,8637302.45244032,815.0
1546128000,0.0407,0.043195,0.039703,0.043195,0.041469,2796649.42742459,454.0
1546214400,0.043195,0.043195,0.03979,0.0407,0.040833,3489809.21185641,497.0
1546300800,0.0407,0.042989,0.039696,0.0421,0.041279,3952223.83159807,507.0
1546387200,0.0421,0.04749,0.041672,0.045274,0.04382,3184579.55434734,578.0
1546473600,0.045274,0.045274,0.041963,0.042251,0.042976,2176213.66722337,500.0
1546560000,0.042251,0.044098,0.04201,0.043808,0.042853,1327716.97204025,354.0
1546646400,0.043482,0.045519,0.042788,0.044145,0.044426,3915017.98643286,541.0
1546732800,0.044145,0.049698,0.044145,0.048691,0.047457,4595175.30042463,667.0
1546819200,0.048691,0.051101,0.047131,0.04813,0.049598,4471221.96579319,904.0
1546905600,0.04813,0.074,0.046578,0.048125,0.05023,8135280.08005062,1379.0
1546992000,0.048389,0.053214,0.048308,0.051932,0.05166,7904098.95959398,1041.0
1547078400,0.051932,0.067,0.041549,0.044137,0.048424,16771546.76399915,2053.0
1547164800,0.044137,0.045001,0.042103,0.043796,0.04375,5755766.04684341,781.0
1547251200,0.043796,0.044053,0.0424,0.043386,0.04321,3388476.25005737,426.0
1547337600,0.043386,0.043396,0.039199,0.0397,0.041036,3851770.90655059,619.0
1547424000,0.0397,0.044487,0.0397,0.043866,0.042272,4882892.65135883,625.0
1547510400,0.043866,0.044086,0.041146,0.042224,0.042639,2308630.76362384,520.0
1547596800,0.042224,0.044801,0.042105,0.044339,0.04387,3078759.90147269,667.0
1547683200,0.044339,0.045898,0.0434,0.045062,0.044869,3254357.58496549,675.0
1547769600,0.045062,0.045089,0.043382,0.043824,0.044171,1317880.35740159,260.0
1547856000,0.043824,0.046266,0.043459,0.045328,0.045337,2327405.14751639,471.0
1547942400,0.045328,0.046083,0.04151,0.042999,0.043987,5122826.70620877,647.0
1548028800,0.042999,0.0458,0.042029,0.042604,0.043071,6408523.46530066,776.0
1548115200,0.042604,0.043832,0.041167,0.043456,0.042958,6262182.42350446,677.0
1548201600,0.043456,0.044249,0.042299,0.042888,0.043298,2188337.63058196,337.0
1548288000,0.042888,0.043374,0.0423,0.042948,0.042836,1005670.3534406,156.0
1548374400,0.042948,0.043135,0.042035,0.042346,0.042603,975101.90584811,229.0
