,open,high,low,close,vwap,volume,count
1555891200,0.0,8.9,0.0,3.93,4.276,45016.73450752,723.0
1555977600,3.93,5.1999,3.7711,3.9751,4.4502,194854.8082236,2099.0
1556064000,3.9751,4.08,2.9277,3.4801,3.5211,127081.30404798,1256.0
1556150400,3.4801,3.832,3.0931,3.21,3.3951,130937.04190579,792.0
1556236800,3.21,3.6233,3.0668,3.5395,3.322,108592.39584654,681.0
1556323200,3.5395,3.6823,3.321,3.4026,3.5014,31173.76597434,332.0
1556409600,3.4026,4.95,3.3559,4.35,4.3612,164109.40764102,2150.0
1556496000,4.35,4.587,3.61,3.7043,4.0283,165605.1578868,1543.0
1556582400,3.7043,3.9986,3.7043,3.8719,3.8452,33173.11881686,649.0
1556668800,3.8719,4.7001,3.8636,4.3609,4.4006,161350.5663094,1959.0
1556755200,4.3609,4.65,4.0954,4.5,4.4496,40263.51407764,702.0
1556841600,4.5,5.2,4.5,5.2,5.0069,305048.65577784,3205.0
1556928000,5.2,5.4,4.69,5.1789,5.1523,387877.32369259,4620.0
1557014400,5.1789,5.85,4.7936,4.8194,4.9939,62465.43667085,792.0
1557100800,4.8194,4.8258,4.4718,4.6717,4.7087,77426.60582479,1089.0
1557187200,4.6717,4.9998,4.55,4.55,4.769,46654.14835634,712.0
1557273600,4.55,4.6496,4.2542,4.3461,4.4048,59325.7554006,794.0
1557360000,4.3461,4.4754,3.4101,3.8744,3.8802,153971.42480059,1330.0
1557446400,3.8744,4.0501,3.6043,3.7986,3.7749,104747.32469052,873.0
1557532800,3.8,4.25,3.711,3.97,4.0242,124922.44314595,1343.0
1557619200,3.9612,4.24,3.6979,3.8449,3.9221,109268.7319785,1094.0
1557705600,3.8449,4.189,3.8279,3.9338,3.9934,188767.81750383,1705.0
1557792000,3.9338,4.1445,3.7934,4.0024,3.9503,128442.51270571,1154.0
1557878400,4.0024,4.68,4.0024,4.5613,4.284,207311.3361232,1851.0
1557964800,4.5613,4.7968,4.0,4.2736,4.2916,84903.59609526,911.0
1558051200,4.2736,4.75,3.7876,4.4026,4.3324,246767.19106991,1826.0
1558137600,4.4026,4.9417,4.3355,4.7053,4.634,83287.30462844,576.0
1558224000,4.7053,5.1777,4.6228,4.8699,4.9351,140024.79556682,797.0
1558310400,4.8699,4.8899,4.4533,4.7557,4.7074,94462.19952826,620.0
1558396800,4.7557,4.8303,4.5199,4.7977,4.6595,56838.97127571,542.0
1558483200,4.7977,4.815,4.3,4.3,4.5544,58475.96802831,752.0
1558569600,4.3,4.4499,4.1208,4.3639,4.2456,120762.64564486,507.0
1558656000,4.3639,4.7898,4.2812,4.4929,4.5615,73218.26416174,636.0
1558742400,4.4929,4.6,4.3344,4.4058,4.4882,32582.16393296,229.0
1558828800,4.4058,4.5878,4.2612,4.5636,4.4149,50561.93915108,385.0
1558915200,4.5636,4.7,4.4859,4.682,4.5773,71411.28337479,607.0
1559001600,4.682,4.8333,4.4948,4.776,4.6638,43093.40161918,601.0
1559088000,4.776,4.8119,4.5111,4.7078,4.6683,53203.19849292,291.0
1559174400,4.7078,6.4299,3.0,5.8566,5.5326,300462.7842887,3215.0
1559260800,5.8566,5.8915,5.2287,5.7468,5.5081,43038.58599675,456.0
1559347200,5.7468,6.2681,5.6668,5.7786,5.9537,61078.6923796,692.0
1559433600,5.7786,6.4191,5.5971,6.3786,5.9772,75458.98629204,471.0
1559520000,6.3786,7.2362,5.9958,6.5629,6.7496,192417.72602541,1550.0
1559606400,6.5629,6.8012,5.8,5.8887,6.2598,196244.79201347,1299.0
1559692800,5.8887,6.2782,5.6419,6.1812,6.0323,108578.42467485,794.0
1559779200,6.1812,6.1812,5.6649,5.9999,5.8691,79593.52825046,669.0
1559865600,5.9999,6.55,5.8937,6.3132,6.1917,57419.60040062,611.0
1559952000,6.3132,6.3132,5.9513,6.0409,6.0976,20197.61310587,273.0
1560038400,6.0409,6.194,5.6661,5.8415,5.8965,27633.66218391,276.0
1560124800,5.8415,6.09,5.7478,6.0676,5.9116,59672.97013138,342.0
1560211200,6.0676,6.1206,5.8151,5.97,5.9329,17559.00018201,266.0
1560297600,5.97,6.259,5.8496,6.1022,6.0926,47489.86411651,455.0
1560384000,6.1022,6.5,6.0757,6.2594,6.3753,98981.41709256,730.0
1560470400,6.2594,6.3869,5.9001,6.28,6.0859,89859.35282683,504.0
1560556800,6.28,6.2964,6.0672,6.2012,6.2025,74196.98236058,325.0
1560643200,6.2012,6.715,6.1661,6.6833,6.3533,54410.73430892,530.0
1560729600,6.6833,7.0899,6.534,6.9941,6.8855,94732.63708383,689.0
1560816000,6.9941,7.0283,6.43,6.6059,6.5696,75099.06711595,477.0
1560902400,6.6059,6.8255,6.5772,6.6594,6.7251,36577.33311082,208.0
