,open,high,low,close,vwap,volume,count
1566432000,0.0,0.21998,0.0,0.20046,0.20183,165083.26959917,244.0
1566518400,0.20046,0.2249,0.19273,0.20215,0.2009,212062.75217239,268.0
1566604800,0.20215,0.2134,0.1949,0.201,0.20126,272156.6938329,236.0
1566691200,0.201,0.2047,0.19036,0.19182,0.19475,225568.98714877,124.0
1566777600,0.19182,0.19861,0.18653,0.19783,0.18953,247737.66933781,237.0
1566864000,0.19783,0.19783,0.17567,0.18874,0.18286,146712.5715421,175.0
1566950400,0.18874,0.19924,0.17491,0.18313,0.18764,281398.07790371,307.0
1567036800,0.18313,0.18313,0.16779,0.17086,0.17394,299216.49268975,301.0
1567123200,0.17086,0.18016,0.16966,0.17792,0.17533,183125.23748773,209.0
1567209600,0.17792,0.18262,0.1755,0.1777,0.18048,148793.98088408,126.0
1567296000,0.1777,0.1842,0.17606,0.18238,0.17875,98520.38829017,123.0
1567382400,0.18238,0.1844,0.17984,0.1841,0.18183,120451.58474908,68.0
1567468800,0.1841,0.1862,0.17659,0.17903,0.18207,295452.33230456,291.0
1567555200,0.17903,0.17903,0.17461,0.17578,0.17759,44871.13103854,70.0
1567641600,0.17578,0.17626,0.16969,0.17334,0.17345,101930.04177237,48.0
1567728000,0.17334,0.17432,0.16353,0.16682,0.17021,221796.15483964,215.0
1567814400,0.16682,0.18035,0.16591,0.17457,0.17556,244207.57754248,218.0
1567900800,0.17457,0.17717,0.17235,0.17532,0.17507,58779.24828297,67.0
1567987200,0.17532,0.17616,0.1649,0.17415,0.17126,106600.00294469,77.0
1568073600,0.17415,0.17705,0.17207,0.17207,0.17484,118377.5001004,71.0
1568160000,0.17207,0.17356,0.1678,0.16992,0.17088,52559.12140823,54.0
1568246400,0.16992,0.17749,0.16992,0.17199,0.17545,164198.23819948,161.0
1568332800,0.17199,0.1745,0.17098,0.17174,0.17224,69262.04170838,45.0
1568419200,0.17174,0.17619,0.17174,0.17441,0.17439,84922.05964442,63.0
1568505600,0.17441,0.17592,0.17417,0.17417,0.17526,9101.70199283,11.0
1568592000,0.17417,0.18093,0.17229,0.17906,0.17658,141325.3742851,154.0
1568678400,0.17906,0.18647,0.17746,0.18524,0.18111,196466.13892991,158.0
1568764800,0.18524,0.1979,0.18329,0.19672,0.19275,521557.21979195,252.0
1568851200,0.19672,0.19722,0.18175,0.19712,0.19018,482316.71334888,320.0
1568937600,0.19712,0.22,0.19173,0.20991,0.20806,677477.50430746,478.0
1569024000,0.20991,0.22208,0.20454,0.2054,0.21577,404183.12284864,273.0
1569110400,0.2054,0.20555,0.1325,0.19238,0.19136,457825.55635997,225.0
1569196800,0.19227,0.21324,0.18454,0.18576,0.19472,238157.30333929,178.0
1569283200,0.18576,0.18846,0.1572,0.1572,0.16924,634056.53507914,445.0
1569369600,0.1572,0.16729,0.149,0.15894,0.15662,627658.94839653,368.0
1569456000,0.15894,0.16816,0.14315,0.15254,0.15879,789382.45731748,332.0
1569542400,0.15254,0.16771,0.14974,0.1668,0.16095,244853.84614899,154.0
1569628800,0.1668,0.1689,0.15868,0.16363,0.16379,61882.58769871,50.0
1569715200,0.16363,0.16363,0.15663,0.15925,0.1591,144480.37898926,63.0
1569801600,0.15925,0.17197,0.155,0.17173,0.16715,121456.42056483,82.0
1569888000,0.17173,0.17386,0.16188,0.16486,0.16876,58627.52177027,80.0
1569974400,0.16486,0.16982,0.16323,0.16982,0.16465,87681.12372856,56.0
1570060800,0.16982,0.18319,0.16723,0.18319,0.17094,165072.30726649,171.0
1570147200,0.18319,0.2,0.17619,0.18924,0.18961,428314.39999561,278.0
1570233600,0.18924,0.1976,0.17979,0.19649,0.18687,419848.12353234,195.0
1570320000,0.19649,0.20555,0.18496,0.18643,0.19108,193318.34585516,153.0
1570406400,0.18643,0.19664,0.145,0.19443,0.17717,1007397.45176028,202.0
1570492800,0.19443,0.21478,0.19298,0.21106,0.20251,586396.11156073,334.0
1570579200,0.21106,0.2145,0.19791,0.20822,0.20455,370996.54921582,366.0
1570665600,0.20822,0.20822,0.194,0.19509,0.19688,101701.57982132,92.0
1570752000,0.19509,0.19797,0.18871,0.19003,0.1926,128034.19394044,125.0
1570838400,0.19003,0.19667,0.18978,0.1947,0.1936,79864.41584951,60.0
1570924800,0.1947,0.20532,0.194,0.20313,0.19913,20903.38821737,73.0
1571011200,0.20313,0.21492,0.20122,0.21492,0.20976,48440.84947094,66.0
1571097600,0.21492,0.23786,0.21293,0.22027,0.22782,381145.10563577,325.0
1571184000,0.22027,0.22167,0.1997,0.21794,0.21323,382444.61805222,296.0
1571270400,0.21794,0.23099,0.21701,0.22098,0.22427,356769.1550544,164.0
1571356800,0.22098,0.22878,0.21758,0.21934,0.22356,188569.25157639,106.0
1571443200,0.21934,0.21934,0.21254,0.2133,0.2157,29643.82461017,39.0
1571529600,0.2133,0.22651,0.20551,0.22651,0.21653,198051.74005987,125.0
1571616000,0.22651,0.22691,0.214,0.21548,0.21684,934877.3407172,210.0
1571702400,0.21548,0.24804,0.212,0.24013,0.23438,699022.16144076,318.0
1571788800,0.24013,0.25685,0.225,0.24003,0.24196,673688.67213922,625.0
1571875200,0.24557,0.25495,0.23312,0.23735,0.2453,232820.90416518,206.0
1571961600,0.23735,0.25637,0.22917,0.25238,0.24334,644265.86136196,383.0
1572048000,0.25238,0.27268,0.23594,0.23597,0.25145,676247.76962824,530.0
1572134400,0.23597,0.24727,0.23223,0.24127,0.23793,391367.07902208,281.0
1572220800,0.24127,0.24542,0.23755,0.24,0.24105,109804.89934519,76.0
1572307200,0.23737,0.24798,0.22591,0.23613,0.23403,752352.80364589,366.0
