,open,high,low,close,vwap,volume,count
1511308800,1173.4,1338.0,1167.1,1305.8,1270.1,6163.72133674,5350.0
1511395200,1305.8,1650.0,1298.0,1650.0,1490.3,13044.15152751,10071.0
1511481600,1650.0,1748.0,1510.1,1628.0,1646.5,8459.85614933,7533.0
1511568000,1628.0,1634.4,1526.8,1550.1,1581.3,6671.51561133,6242.0
1511654400,1550.1,1724.4,1530.0,1714.7,1620.7,5112.72155112,4292.0
1511740800,1714.7,1715.0,1575.0,1580.0,1635.6,4537.24416245,4361.0
1511827200,1580.0,1582.8,1466.6,1480.0,1535.2,5907.47984084,5639.0
1511913600,1480.0,1609.0,1281.0,1340.1,1464.3,9994.20987388,9618.0
1512000000,1329.2,1422.0,1203.6,1340.0,1310.8,6046.47919328,6773.0
1512086400,1344.4,1476.8,1250.0,1444.0,1371.3,4989.46015648,5978.0
1512172800,1444.0,1476.0,1381.0,1390.0,1419.7,2289.23053648,3793.0
1512259200,1390.0,1616.0,1390.0,1510.4,1536.5,5828.64188015,7383.0
1512345600,1510.4,1535.0,1400.0,1535.0,1499.9,3300.62634784,4516.0
1512432000,1535.0,1569.4,1451.2,1480.0,1510.9,3374.48589187,3316.0
1512518400,1460.9,1480.0,1330.0,1358.0,1425.1,3904.99296087,4724.0
1512604800,1358.0,1399.8,1211.1,1213.0,1304.1,4844.2956753,4575.0
1512691200,1213.7,1497.9,1151.1,1384.3,1348.4,7418.55691346,7765.0
1512777600,1384.3,1469.9,1300.5,1357.0,1401.7,3727.89016012,4426.0
1512864000,1363.5,1386.6,1204.2,1284.0,1288.7,3202.73096877,5363.0
1512950400,1284.0,1421.0,1284.0,1385.4,1378.9,4079.81636766,7010.0
1513036800,1385.4,1569.4,1377.0,1566.0,1474.0,5498.79611908,8167.0
1513123200,1566.0,1681.4,1431.3,1561.2,1552.4,5632.04401541,7225.0
1513209600,1561.2,1998.0,1561.2,1905.0,1830.9,8625.80332272,8103.0
1513296000,1905.0,1947.4,1590.0,1789.0,1735.7,4467.98336355,4927.0
1513382400,1790.1,1851.0,1743.5,1783.4,1793.4,2822.9687718,5690.0
1513468800,1783.4,1850.0,1778.0,1819.8,1817.8,2656.45882856,4624.0
1513555200,1819.8,2291.0,1752.7,2124.2,2033.2,8679.34532275,10537.0
1513641600,2120.0,2841.7,2060.2,2713.7,2434.6,9717.35546319,14142.0
1513728000,2713.7,4000.1,2701.1,3639.3,3433.9,20054.50415763,29248.0
1513814400,3650.0,3697.2,2775.0,2959.2,3182.5,8690.00155049,15309.0
1513900800,2959.2,3122.8,1751.6,2480.4,2388.2,12982.55412856,15218.0
1513987200,2480.4,3300.0,2400.4,2952.3,2968.9,5980.62453624,10646.0
