,open,high,low,close,vwap,volume,count
1569283200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1569369600,0.0,1.02,0.0,1.00652,1.00708,5231.21162116,41.0
1569456000,1.00652,1.01261,1.00213,1.0107,1.00619,25898.72903809,124.0
1569542400,1.0107,1.01266,1.0032,1.01266,1.00729,12157.39774254,81.0
1569628800,1.01266,1.01266,1.005,1.00981,1.00691,4743.93684606,35.0
1569715200,1.00981,1.00989,1.00284,1.00641,1.00468,6575.85129222,29.0
1569801600,1.00641,1.01185,1.0,1.00681,1.00806,17485.52481286,87.0
1569888000,1.00681,1.01416,1.00001,1.00337,1.00484,22526.82751634,86.0
1569974400,1.00337,1.00727,1.0015,1.002,1.00381,13766.85668627,75.0
1570060800,1.002,1.01427,1.00001,1.00378,1.00509,74462.8538423,393.0
1570147200,1.00378,1.014,1.00296,1.014,1.00654,23720.58433776,82.0
1570233600,1.014,1.014,1.00572,1.01083,1.00895,3029.12343501,31.0
1570320000,1.01083,1.01489,1.0041,1.01059,1.00863,19602.28432426,59.0
1570406400,1.01059,1.01327,1.0051,1.01,1.00858,23177.15793864,194.0
1570492800,1.01,1.01217,1.003,1.003,1.00725,18432.92530622,195.0
1570579200,1.003,1.01587,1.001,1.0079,1.00976,70336.20058177,319.0
1570665600,1.0079,1.01051,1.00445,1.0085,1.00762,19377.70090461,130.0
1570752000,1.0085,1.01533,1.00395,1.00484,1.01004,36898.52450878,363.0
1570838400,1.00484,1.01194,1.00301,1.00665,1.00656,12206.43011965,151.0
1570924800,1.00665,1.01077,1.001,1.00534,1.00642,41727.30675786,132.0
1571011200,1.00534,1.01162,1.00213,1.00664,1.00521,11485.94203763,75.0
1571097600,1.00664,1.00965,1.001,1.00443,1.00307,156806.16369745,429.0
1571184000,1.00443,1.01099,1.004,1.00648,1.00641,61229.41856836,268.0
1571270400,1.00648,1.01066,1.004,1.00533,1.00791,77499.22044072,486.0
1571356800,1.00533,1.01042,1.00201,1.00912,1.00769,41186.52496368,305.0
1571443200,1.00912,1.01158,1.00605,1.00854,1.0094,13745.49565711,108.0
1571529600,1.00854,1.01061,1.0053,1.00877,1.00774,10505.77633986,114.0
1571616000,1.00877,1.00917,1.00488,1.00896,1.00832,25079.65920349,164.0
1571702400,1.00896,1.0099,1.0055,1.0084,1.00883,45757.653971,212.0
1571788800,1.0084,1.02678,1.0078,1.01061,1.01198,147113.88771429,636.0
1571875200,1.01061,1.01433,1.00628,1.01104,1.00944,18439.57814073,108.0
1571961600,1.01104,1.01566,1.00508,1.01296,1.0108,73921.2130666,357.0
1572048000,1.01296,1.01984,1.00694,1.0076,1.01173,120302.30164682,595.0
1572134400,1.0076,1.01201,1.006,1.006,1.00801,12661.49733827,77.0
1572220800,1.006,1.01031,1.006,1.00604,1.00719,76452.81511148,474.0
1572307200,1.00604,1.00997,1.00522,1.00673,1.00727,39840.46258295,271.0
1572393600,1.00673,1.00917,1.00295,1.00838,1.00665,55707.18473786,408.0
1572480000,1.00838,1.01227,1.00542,1.01125,1.00807,94008.42737363,468.0
1572566400,1.01125,1.01237,1.00469,1.00665,1.007,203459.81026672,800.0
1572652800,1.00665,1.00665,1.00226,1.00592,1.00476,52878.20940334,116.0
1572739200,1.00592,1.00713,1.002,1.00713,1.00524,71182.28387144,281.0
1572825600,1.00713,1.0086,1.00199,1.00199,1.00718,186376.53275612,463.0
1572912000,1.00199,1.06,1.00199,1.00482,1.00874,231501.69681952,863.0
1572998400,1.00482,1.03999,1.00292,1.00358,1.01057,36879.70576694,178.0
1573084800,1.00358,1.00768,1.00189,1.00399,1.00433,40596.65336663,242.0
1573171200,1.00399,1.00702,1.00247,1.00403,1.00507,48528.72821098,216.0
1573257600,1.00403,1.00601,1.003,1.003,1.00376,55616.36693158,128.0
1573344000,1.003,1.00489,1.0013,1.0013,1.00278,14393.28547193,95.0
1573430400,1.0013,1.0045,1.0013,1.00424,1.00412,142243.04575224,304.0
