,open,high,low,close,vwap,volume,count
1511308800,491.98,592.0,490.821,577.0,556.96,4692.41280441,2528.0
1511395200,577.0,588.93,551.0,565.0,564.904,2069.74208465,1199.0
1511481600,565.0,571.774,547.8,557.0,557.152,1222.16805316,578.0
1511568000,557.0,649.685,557.0,635.012,601.579,2339.87242934,1212.0
1511654400,635.011,648.0,605.0,615.87,620.84,1145.86975773,739.0
1511740800,615.87,629.126,605.0,618.6,619.435,1337.15234407,724.0
1511827200,618.6,623.488,600.0,605.0,613.061,1972.76392195,836.0
1511913600,605.0,789.0,600.0,665.044,676.459,4168.89889002,2521.0
1512000000,665.044,815.0,657.942,779.852,736.508,4722.58032116,2834.0
1512086400,779.0,799.605,685.001,785.85,760.729,2233.12925111,1510.0
1512172800,785.85,797.0,753.0,764.1,769.709,966.7308262,1048.0
1512259200,764.1,810.0,755.0,771.085,787.217,1818.35139049,1648.0
1512345600,771.085,791.778,756.01,769.29,771.065,1104.08454982,828.0
1512432000,769.29,774.989,750.001,750.001,759.502,984.40956951,720.0
1512518400,760.17,766.0,662.001,689.999,728.941,2137.03819321,1763.0
1512604800,689.999,750.0,661.5,669.146,682.242,1523.92939774,971.0
1512691200,669.146,782.0,653.1,722.775,703.92,2326.08323719,1809.0
1512777600,722.775,768.0,701.01,717.009,741.454,1467.44914249,1399.0
1512864000,717.009,739.0,651.0,691.628,692.404,2233.36332747,1978.0
1512950400,691.628,789.0,685.891,755.0,739.112,2201.44448998,2419.0
1513036800,755.0,904.0,736.78,857.0,817.277,2785.36190235,3488.0
1513123200,856.996,909.88,790.0,866.652,865.036,1909.71137152,3148.0
1513209600,866.652,945.0,840.0,924.868,904.029,3012.37223266,3573.0
1513296000,916.129,925.171,831.758,886.0,876.955,1152.14002968,1368.0
1513382400,886.0,989.0,885.0,989.0,919.503,1277.78035064,2237.0
1513468800,989.0,1250.0,952.767,1080.0,1064.581,2815.19490836,4132.0
1513555200,1080.0,1170.0,1020.1,1139.54,1082.053,1409.5828298,2411.0
1513641600,1139.283,1249.0,1020.0,1150.03,1169.588,2011.55329779,2948.0
1513728000,1150.03,1625.0,1050.001,1524.0,1360.974,4158.270682,4147.0
1513814400,1527.998,1600.0,1220.6,1306.093,1402.997,2318.35205747,3068.0
1513900800,1306.093,1420.0,875.0,1299.95,1084.524,4953.71467529,4071.0
1513987200,1299.95,1299.95,1100.213,1179.032,1217.71,1546.55856007,1956.0
1514073600,1198.95,1202.779,1001.048,1123.04,1089.57,1354.28043114,1830.0
1514160000,1123.04,1193.7,1082.297,1121.0,1136.455,865.6141981,857.0
1514246400,1121.0,1193.999,1121.0,1173.79,1166.735,557.51960462,707.0
1514332800,1173.79,1219.939,1120.877,1132.214,1177.776,803.198836,1245.0
1514419200,1132.214,1189.999,1011.0,1109.293,1068.541,948.48849829,1432.0
1514505600,1112.553,1150.0,1022.141,1091.29,1104.397,1277.67358158,1749.0
1514592000,1091.29,1091.29,905.101,964.025,986.292,1176.12334126,1627.0
1514678400,961.843,1069.999,930.351,1027.191,995.292,769.15577112,1075.0
1514764800,1027.191,1058.839,983.663,1035.0,1026.159,1269.38889101,1111.0
1514851200,1036.0,1210.0,1036.0,1160.0,1117.155,1021.46713427,1380.0
1514937600,1168.0,1200.0,1104.379,1134.11,1134.35,1225.64030423,1509.0
1515024000,1134.133,1250.0,987.501,1130.239,1128.718,2051.01099852,3023.0
1515110400,1130.239,1171.549,1020.001,1054.499,1104.189,1396.85584143,2067.0
1515196800,1054.499,1192.0,1053.482,1150.243,1131.918,651.24604093,1230.0
1515283200,1150.243,1250.0,1142.623,1151.412,1198.292,1255.30889511,1524.0
1515369600,1150.229,1167.627,976.0,1080.202,1087.415,1362.11087368,1645.0
1515456000,1083.683,1137.696,1041.001,1090.1,1096.147,975.13372718,1971.0
1515542400,1095.728,1108.559,1014.84,1099.0,1060.143,990.88211038,1681.0
1515628800,1098.999,1100.0,950.0,997.0,1029.106,235.22574302,235.0
1515715200,997.0,997.0,997.0,997.0,0.0,0.0,0.0
1515801600,997.0,1400.0,980.0,1073.091,1091.069,3767.25402008,3738.0
1515888000,1055.29,1087.818,980.128,999.784,1021.454,4362.27985567,4918.0
1515974400,999.784,1030.001,927.236,927.236,991.404,2625.3297469,3296.0
1516060800,927.236,998.799,640.0,767.75,806.365,8667.15071056,6551.0
1516147200,767.73,848.312,611.001,799.159,730.455,5304.22493535,5276.0
1516233600,799.159,949.0,759.301,836.299,863.321,3527.68414037,4425.0
1516320000,836.299,877.313,805.0,847.5,837.175,1772.66606578,2024.0
1516406400,854.738,960.0,845.234,921.91,903.125,1474.60049163,2107.0
1516492800,921.91,929.138,791.512,810.961,837.13,1234.16455004,1425.0
1516579200,810.961,845.0,700.7,759.483,768.76,2399.61836544,3894.0
1516665600,759.483,799.999,685.98,759.0,749.907,1981.69536744,3278.0
1516752000,759.0,792.792,729.27,785.0,762.199,923.43905429,2124.0
1516838400,785.0,825.0,777.88,793.84,798.215,1104.68697519,1749.0
1516924800,793.84,814.069,737.191,778.151,777.475,1126.94107145,2150.0
1517011200,778.151,786.59,750.0,770.018,768.261,859.76645149,1576.0
1517097600,770.018,810.0,759.41,807.03,785.374,1522.06920438,2197.0
1517184000,807.03,808.87,745.0,758.141,768.742,716.32875504,1494.0
1517270400,758.141,779.599,660.368,664.03,706.637,1959.65880649,2859.0
1517356800,664.03,696.93,642.593,689.5,672.869,1741.75566708,3270.0
1517443200,689.5,700.0,562.48,609.923,615.448,2253.12156365,3280.0
1517529600,609.923,610.133,430.0,590.427,536.89,4662.74522175,6377.0
1517616000,590.427,650.0,525.94,626.88,597.481,1055.27032361,1672.0
1517702400,626.88,648.908,525.094,538.027,584.575,1135.89878849,1800.0
1517788800,538.027,552.161,420.41,444.984,480.813,3530.09000249,5130.0
1517875200,444.984,540.33,376.047,526.579,442.758,4837.09915525,6694.0
1517961600,526.579,590.0,484.421,517.913,533.824,2227.06768279,3261.0
1518048000,517.913,609.27,515.211,601.271,575.356,2063.00875436,2594.0
1518134400,601.271,642.955,572.0,636.1,607.495,2351.39029215,1820.0
1518220800,636.1,670.74,599.648,632.117,640.993,1258.16469622,1842.0
1518307200,632.117,632.117,556.498,576.639,590.845,668.21228946,1353.0
1518393600,576.639,626.0,576.639,618.999,616.236,741.260136,863.0
1518480000,618.999,623.19,580.0,592.765,600.111,396.44091583,697.0
1518566400,591.298,688.797,591.298,681.899,657.931,1580.35549562,1629.0
1518652800,681.899,708.467,659.941,696.398,686.645,1049.21955347,1365.0
1518739200,697.125,722.915,675.5,694.723,697.778,568.31877829,869.0
1518825600,694.723,749.413,688.572,738.181,724.718,555.13167715,883.0
1518912000,738.181,747.169,669.329,689.35,704.266,1139.45625806,1803.0
1518998400,689.35,732.578,685.893,728.509,718.396,540.77158618,835.0
1519084800,728.509,737.46,677.287,679.63,721.567,810.93786226,887.0
1519171200,679.618,720.4,658.301,658.799,684.06,915.65503883,1371.0
1519257600,658.799,679.14,590.367,624.605,605.863,3808.00516776,2172.0
