,open,high,low,close,vwap,volume,count
1518652800,1.2495,1.2495,1.2495,1.2495,0.0,0.0,0.0
1518739200,1.2495,9.55,1.2495,9.55,9.4461,12.999995,3.0
1518825600,9.55,14.5,9.55,10.39,10.4159,56125.98924909,685.0
1518912000,10.39,10.39,8.5,9.2768,9.5556,58418.74232116,811.0
1518998400,9.2768,9.6955,9.1481,9.5578,9.5351,46068.6221958,474.0
1519084800,9.557,9.8814,8.681,8.85,9.3789,85414.47289149,583.0
1519171200,8.85,8.973,8.0313,8.6488,8.5198,82969.60769167,821.0
1519257600,8.6488,9.86,7.4,7.8895,7.8207,173499.85992072,945.0
1519344000,7.8895,9.0,7.5117,8.25,8.1673,151132.55569515,991.0
1519430400,8.2103,8.89,7.6,7.91,7.9783,56458.99908339,864.0
1519516800,7.91,8.0,7.5,7.69,7.7227,50638.37323598,487.0
1519603200,7.69,8.6,7.45,7.9691,7.88,78457.42859131,987.0
1519689600,7.9691,9.88,7.9107,8.38,8.4647,148947.38725983,1021.0
1519776000,8.38,9.1744,8.1001,8.16,8.4803,139932.46895131,1251.0
1519862400,8.16,8.6099,8.11,8.535,8.3294,79182.59129223,649.0
1519948800,8.5346,9.03,7.8701,8.04,8.3191,101585.38668085,865.0
1520035200,8.04,8.4699,7.8308,7.9166,8.0757,53016.14051638,520.0
1520121600,7.9166,8.1902,7.6601,8.1838,7.8467,55531.28252661,530.0
1520208000,8.1497,8.2838,7.95,7.95,8.136,23789.57325118,402.0
1520294400,7.95,8.1099,7.01,7.14,7.3921,122564.14446799,1142.0
1520380800,7.14,7.4263,5.8996,6.4399,6.6576,226972.8050223,1737.0
1520467200,6.4399,6.7197,5.84,6.07,6.2068,110317.65568237,1089.0
1520553600,6.07,6.18,5.23,6.015,5.7005,193387.01296017,1588.0
1520640000,6.015,6.59,5.6274,5.6392,6.0671,108344.21377578,930.0
1520726400,5.6392,6.2499,5.4144,6.01,5.8188,77372.4931583,691.0
1520812800,6.01,6.19,5.5701,5.75,5.8878,88898.44771003,783.0
1520899200,5.75,5.9877,5.5344,5.8003,5.8119,98090.84923874,691.0
1520985600,5.8003,6.0998,5.1113,5.2409,5.4793,150085.50202463,1065.0
1521072000,5.2816,5.3798,4.7181,5.1692,4.9778,166231.87890164,827.0
1521158400,5.1692,5.3,4.8478,5.0799,5.089,54545.52987412,416.0
1521244800,5.0799,5.0799,4.2,4.5951,4.7588,301398.0071324,1000.0
1521331200,4.5951,4.7499,3.8806,4.6393,4.2381,243682.06492033,1419.0
1521417600,4.6244,6.25,4.3847,6.1902,5.0442,346158.89017989,1927.0
1521504000,6.1902,6.77,5.35,5.9599,5.909,331471.11747609,2509.0
1521590400,5.9599,7.24,5.8568,6.89,6.4357,495311.66389113,2728.0
1521676800,6.919,7.28,6.1404,6.9218,6.8031,410852.06845526,3078.0
1521763200,6.9218,7.1,6.26,6.96,6.6799,223239.73357866,1928.0
1521849600,6.96,7.0899,6.5,6.5,6.8396,199771.24335018,1644.0
1521936000,6.5,6.66,6.3558,6.44,6.5456,93948.38565974,800.0
1522022400,6.44,6.97,5.2747,5.82,5.695,414090.00831336,2719.0
1522108800,5.82,6.5,5.22,5.8,5.9521,383327.0240054,3200.0
1522195200,5.7999,6.44,5.7,6.1999,6.1619,188228.72907797,1545.0
1522281600,6.1999,6.26,5.7001,5.88,5.9252,438060.79269656,2730.0
1522368000,5.88,6.15,5.5667,5.99,5.8526,269788.83227835,1730.0
1522454400,5.99,6.1899,5.7779,5.89,5.968,162570.59008283,916.0
1522540800,5.89,5.96,5.1367,5.61,5.5249,231114.98833775,1843.0
1522627200,5.61,5.85,5.5087,5.7901,5.6839,199806.09371437,1228.0
1522713600,5.7901,6.17,5.73,6.0598,5.935,228339.21438707,1209.0
1522800000,6.028,6.1299,5.4701,5.66,5.8833,333047.22283093,1900.0
1522886400,5.66,6.4482,5.4001,6.2852,5.9286,229151.84431521,1685.0
1522972800,6.2852,6.35,5.68,5.8371,5.9026,346127.98429391,1687.0
1523059200,5.8371,5.9999,5.7938,5.87,5.9177,104379.16807895,652.0
1523145600,5.87,6.06,5.8197,5.9695,5.9264,48979.37961011,356.0
1523232000,5.9695,6.09,5.75,5.87,5.8778,141912.64859932,633.0
1523318400,5.87,6.0755,5.764,5.9704,5.9354,97450.94564138,610.0
1523404800,5.9704,8.85,5.9502,8.625,7.4437,769683.64724485,6677.0
1523491200,8.625,9.25,7.8611,8.82,8.707,660490.97921637,6965.0
1523577600,8.82,9.88,8.633,8.7734,9.0961,453651.0515094,4023.0
1523664000,8.79,9.07,8.12,8.7222,8.611,176004.67057303,2006.0
1523750400,8.7222,9.15,7.7501,8.5001,8.3351,243409.89979221,2559.0
1523836800,8.5001,8.8,7.81,8.0901,8.1601,162490.52998761,1640.0
1523923200,8.0901,9.11,8.0901,8.4625,8.7366,207150.00447555,2243.0
1524009600,8.4625,9.5,8.4601,9.0201,8.8816,219379.74129818,2051.0
1524096000,9.0399,9.44,8.8203,9.42,9.1773,146448.81698209,1430.0
1524182400,9.4495,11.75,9.4495,11.45,10.6017,432054.64120698,4881.0
1524268800,11.5912,11.7037,10.2366,11.1684,10.926,222207.84269474,2663.0
1524355200,11.1684,12.0,10.761,11.3464,11.5238,163533.80759629,2075.0
1524441600,11.3464,11.9,11.2501,11.62,11.6225,165528.73926787,1629.0
1524528000,11.6635,16.1696,11.6635,15.11,14.4449,704071.50915061,7328.0
1524614400,15.11,15.55,13.3164,14.3081,14.4862,596677.83113056,8172.0
1524700800,14.375,15.5282,13.8996,15.5282,14.6923,280394.90855128,3839.0
1524787200,15.4414,17.85,14.8337,16.5075,16.6294,386326.70043116,5612.0
1524873600,16.5075,19.6498,16.4283,18.9518,18.6358,614823.94773443,7932.0
1524960000,18.9518,23.3998,17.85,21.461,20.7228,798227.35590041,10138.0
1525046400,21.461,21.5599,16.5,17.3305,18.2063,847563.87473442,9296.0
1525132800,17.3326,19.2419,15.8601,18.831,17.2952,600775.92389107,6457.0
1525219200,18.817,19.5,18.15,19.1494,18.6622,429439.00571839,4993.0
1525305600,19.1494,19.3696,16.7001,17.7246,17.8101,598962.63855068,7139.0
1525392000,17.7246,18.01,16.3,17.0526,17.0715,256728.88648552,3313.0
1525478400,17.0002,18.6,17.0002,17.68,17.9649,284235.43731048,2789.0
1525564800,17.68,17.8873,16.7,17.3493,17.2382,256293.9531024,2720.0
1525651200,17.3493,18.3997,16.6707,17.8786,17.7308,269272.56466265,3386.0
1525737600,17.8786,18.7911,17.5707,17.9121,18.1796,237978.95280941,2600.0
1525824000,17.9121,18.1025,17.021,17.5794,17.6429,181735.50925502,1602.0
1525910400,17.5794,18.9,17.1624,17.3678,17.9769,342063.01705277,2259.0
1525996800,17.3678,17.6499,14.2788,14.72,15.3311,821319.4972389,8329.0
1526083200,14.72,15.1,12.2738,13.9189,13.563,472683.6336234,4855.0
1526169600,13.9189,15.1,13.4916,14.685,14.2947,236258.06741353,2248.0
1526256000,14.6846,14.9899,13.0,13.7039,14.0302,343233.94720108,2925.0
1526342400,13.7039,14.3408,12.413,12.75,13.3008,285370.89028988,2130.0
