,open,high,low,close,vwap,volume,count
1511308800,17.695,18.199,17.542,18.0,17.945,17634.42321866,639.0
1511395200,18.0,18.677,17.692,18.1,18.072,26083.98371575,1028.0
1511481600,18.1,20.77,16.9,20.7,19.032,110387.05928773,2244.0
1511568000,20.7,22.35,20.002,21.22,21.159,118252.73975485,2765.0
1511654400,21.13,21.798,20.6,21.5,21.144,36587.79950102,1125.0
1511740800,21.5,24.98,20.1,24.602,23.11,124480.15566773,3115.0
1511827200,24.602,32.18,23.5,31.0,28.46,135114.36197605,3634.0
1511913600,31.0,31.563,22.091,23.774,27.794,111177.73480842,4195.0
1512000000,23.8,27.5,22.0,26.296,24.733,72633.73892852,2755.0
1512086400,26.369,29.69,24.302,29.501,27.802,48925.63622534,2476.0
1512172800,29.501,30.849,28.15,28.886,29.385,47124.03764921,1989.0
1512259200,28.886,30.3,28.15,29.016,29.294,34608.36007579,1394.0
1512345600,29.016,29.999,28.012,29.066,28.961,25436.95651749,906.0
1512432000,29.05,29.288,28.012,28.15,28.557,25758.91762812,1619.0
1512518400,28.15,28.896,24.7,25.426,26.967,31730.94334092,1587.0
1512604800,25.586,27.911,22.91,22.91,24.807,30743.7757607,1877.0
1512691200,23.007,27.7,22.4,27.7,25.159,38284.53265666,2383.0
1512777600,27.622,30.244,25.0,27.578,28.398,62773.73925446,3166.0
1512864000,27.61,27.991,24.25,25.177,25.687,47364.61849691,3360.0
1512950400,25.177,28.97,25.157,27.263,27.325,49657.52280927,4042.0
1513036800,27.263,31.2,26.5,30.197,29.243,102011.19174649,3806.0
1513123200,30.197,33.5,27.551,29.209,30.064,101353.98472384,3722.0
1513209600,29.209,33.95,29.0,31.54,31.158,70108.49601429,3020.0
1513296000,31.534,32.8,28.211,31.343,30.06,48344.292863,2192.0
1513382400,31.343,37.7,30.368,33.776,34.887,147892.53461996,8133.0
1513468800,33.776,35.686,33.0,33.534,34.111,62774.72137692,3558.0
1513555200,33.534,40.227,31.671,38.138,37.051,144493.49414488,5985.0
1513641600,38.052,42.0,35.058,37.554,39.417,119226.63209779,5546.0
1513728000,37.554,42.1,34.25,38.846,38.264,106623.2103852,4089.0
1513814400,38.835,41.11,35.2,37.128,38.67,76446.90903453,4049.0
1513900800,37.128,37.463,25.0,27.626,29.261,123209.32188715,5293.0
1513987200,27.626,34.0,27.626,30.771,31.624,82897.9563073,5560.0
1514073600,30.584,30.752,25.202,28.471,27.845,55453.15464344,3099.0
1514160000,28.471,30.26,27.66,29.103,29.005,43584.28758585,2716.0
1514246400,29.103,31.474,29.103,30.195,30.113,21871.59920129,1752.0
1514332800,30.195,30.971,28.0,28.999,29.238,31359.57633256,2023.0
1514419200,28.999,29.496,25.85,27.169,27.089,36147.55352923,2544.0
1514505600,27.251,29.3,26.8,28.0,27.978,50670.83423586,2733.0
1514592000,28.0,28.016,24.08,24.6,25.891,61315.36743946,2734.0
1514678400,24.619,29.09,24.101,27.07,26.131,50646.12115531,2240.0
1514764800,27.072,32.5,26.0,29.798,29.997,79566.65015052,4052.0
1514851200,29.8,35.0,29.672,32.575,32.024,67326.27010077,2780.0
1514937600,32.48,33.778,31.002,33.382,32.134,40256.23113349,2059.0
1515024000,33.303,39.02,30.499,34.499,34.351,92718.08464972,3568.0
1515110400,34.498,36.0,30.8,31.104,33.391,63795.50757248,2924.0
1515196800,31.104,35.107,31.104,34.449,32.788,29995.47679503,1925.0
1515283200,34.449,36.58,33.632,35.052,35.163,43267.31651631,2187.0
1515369600,35.052,37.436,29.0,33.818,34.284,83806.82513777,3612.0
1515456000,33.701,38.989,32.0,37.912,35.238,74655.76419119,3459.0
1515542400,37.915,39.0,32.4,36.393,36.363,90720.26727896,4073.0
1515628800,36.393,37.558,30.386,33.061,32.736,29557.81700156,976.0
1515628800,36.393,37.558,30.386,33.061,32.736,29557.81700156,976.0
1515801600,36.35,147.477,33.8,41.559,40.816,77890.38321072,5127.0
1515888000,41.531,47.296,40.0,42.84,43.685,181506.16793811,10209.0
1515974400,42.739,43.794,40.0,40.0,42.0,114520.43470809,5186.0
1516060800,40.0,40.145,22.454,28.562,32.125,281860.40925968,11736.0
1516147200,28.571,32.001,22.1,29.644,27.411,205680.24444089,10109.0
1516233600,29.644,33.58,27.925,30.093,30.812,246128.5707006,8399.0
1516320000,30.093,34.69,29.35,31.806,31.716,99102.99200083,6447.0
1516406400,32.195,35.727,31.859,34.976,33.917,61710.82059229,3815.0
1516492800,34.976,36.288,29.031,30.375,31.845,114071.98675216,6301.0
1516579200,30.375,33.24,26.425,29.143,29.167,144256.11705561,9351.0
1516665600,29.143,30.87,26.263,28.3,28.598,103438.10303979,5912.0
1516752000,28.3,30.197,28.139,29.773,29.178,57143.89958842,4659.0
1516838400,29.773,30.338,28.462,28.971,29.465,56372.25220767,4046.0
1516924800,28.971,29.599,26.498,28.557,27.94,73911.21717037,5401.0
1517011200,28.557,30.299,28.01,29.5,29.055,46436.75474885,3937.0
1517097600,29.5,33.439,29.292,31.933,31.387,75791.26317059,4681.0
1517184000,31.929,32.602,30.237,30.807,31.076,44078.09626503,3066.0
1517270400,30.807,31.187,26.066,26.593,28.271,96893.19303404,4959.0
1517356800,26.593,28.483,25.37,28.269,26.915,84120.70699104,5965.0
1517443200,28.269,28.5,22.901,24.749,25.248,74217.2728352,4545.0
1517529600,24.749,24.749,17.8,22.918,21.701,183386.44570963,8617.0
1517616000,22.918,24.891,20.236,24.1,23.17,79546.01847144,3610.0
1517702400,24.1,24.767,19.555,20.665,21.889,54656.81878459,2724.0
1517788800,20.665,21.08,15.3,16.161,17.802,145540.76858027,6783.0
1517875200,16.161,19.99,13.75,19.321,16.281,159100.29071342,9768.0
1517961600,19.321,20.715,17.175,18.007,19.057,76336.6088973,6477.0
1518048000,18.006,21.896,18.006,21.581,20.421,44258.03829571,4321.0
1518134400,21.581,26.329,20.787,25.733,23.557,111412.09180263,6005.0
1518220800,25.733,26.26,22.445,24.0,24.489,91248.7320994,5351.0
1518307200,24.0,25.89,20.99,23.648,23.487,106664.24707334,4896.0
1518393600,23.648,29.995,23.648,29.48,27.564,111783.10935166,5251.0
1518480000,29.445,34.18,27.794,33.2,31.231,193000.49584157,8595.0
1518566400,33.2,37.75,32.619,34.727,34.524,222745.73455873,8571.0
1518652800,34.727,35.481,31.78,33.821,33.521,116494.71995487,4559.0
1518739200,33.821,35.134,32.035,34.81,33.898,44453.68847159,2422.0
1518825600,34.81,35.175,34.069,34.849,34.684,29733.85321745,2114.0
1518912000,34.856,35.0,30.969,34.305,33.445,69244.93739868,4473.0
1518998400,34.305,39.706,33.416,38.601,37.752,111789.8328879,5677.0
1519084800,38.601,42.839,35.879,36.298,40.376,190997.11253823,7484.0
1519171200,36.475,38.536,33.01,34.366,35.777,189619.55729985,8536.0
1519257600,34.366,35.94,30.15,31.323,32.612,195358.56290904,6216.0
1519344000,31.323,36.771,30.164,36.083,34.753,222597.43208366,7636.0
1519430400,35.925,39.0,34.503,36.648,36.569,160239.90950685,5921.0
1519516800,36.648,36.987,33.516,35.028,34.961,126685.8135971,3549.0
1519603200,35.028,36.448,33.128,35.283,34.86,76691.1003454,3398.0
1519689600,35.283,37.1,34.685,35.6,35.897,53957.27984989,2503.0
1519776000,35.6,36.3,32.827,33.344,34.081,58964.81146057,2782.0
1519862400,33.344,34.709,31.355,33.426,33.361,87723.77520174,2817.0
1519948800,33.459,33.945,29.994,30.488,31.757,77380.91265657,3163.0
1520035200,30.488,31.849,28.294,28.826,29.543,95645.87395912,4126.0
1520121600,28.826,31.189,28.408,29.411,29.854,120516.45187958,3710.0
1520208000,29.526,30.236,26.119,26.52,28.071,200320.36585746,6394.0
1520294400,26.518,27.204,24.516,24.814,25.746,93099.19616804,3559.0
1520380800,24.814,25.285,20.266,21.74,22.353,200089.02285283,5752.0
1520467200,21.74,25.38,20.922,22.179,23.104,175254.59195007,5766.0
1520553600,22.179,22.847,20.101,22.157,21.242,159865.79488151,5075.0
1520640000,22.157,22.842,20.454,20.662,21.925,37735.50483926,1906.0
1520726400,20.662,21.751,19.49,21.391,20.228,212386.61390795,4879.0
1520812800,21.391,21.712,19.812,20.331,20.623,44528.09680386,1886.0
1520899200,20.325,20.842,19.542,19.796,20.09,47753.88709482,2108.0
1520985600,19.796,20.151,16.0,16.998,17.678,128267.60869343,4913.0
1521072000,17.003,19.444,15.56,18.179,17.46,159971.0601263,5034.0
1521158400,18.179,18.577,17.07,17.758,17.879,120383.63832888,3092.0
1521244800,17.758,17.924,15.917,16.199,16.966,45632.05792943,1679.0
1521331200,16.119,16.9,14.215,16.688,15.54,136336.17008688,3471.0
1521417600,16.707,19.699,16.17,19.445,18.089,145715.20508524,3332.0
1521504000,19.445,21.14,17.834,20.031,20.001,204751.73290735,5779.0
1521590400,20.031,21.488,19.05,19.684,20.194,97371.44615707,3868.0
1521676800,19.684,20.612,18.344,19.517,19.306,70063.50181009,2804.0
1521763200,19.517,19.574,17.93,19.11,18.5,64891.49820914,2647.0
1521849600,19.11,19.47,18.276,18.321,18.878,58433.77874171,1881.0
1521936000,18.321,18.484,17.852,18.027,18.189,22143.29580834,1176.0
1522022400,18.027,18.09,15.0,16.402,15.879,253176.56885066,5106.0
1522108800,16.402,17.15,15.244,15.844,16.481,161306.75518095,4547.0
1522195200,15.777,16.864,15.705,16.05,16.139,39083.12766917,1896.0
1522281600,16.05,16.119,14.451,14.755,15.191,104736.28894298,4217.0
1522368000,14.755,15.148,13.76,14.34,14.464,140265.97677117,3988.0
1522454400,14.34,14.873,14.212,14.244,14.531,52168.49105974,1853.0
1522540800,14.244,14.467,13.03,13.565,13.537,69288.87853767,1986.0
1522627200,13.565,14.3,13.483,14.062,13.981,36525.89195803,1255.0
1522713600,14.062,15.198,13.933,15.075,14.789,65460.36022451,2108.0
1522800000,14.993,15.042,13.379,13.565,13.906,36206.70696002,1778.0
1522886400,13.565,13.82,13.102,13.594,13.475,53626.5235369,1931.0
1522972800,13.594,13.831,12.966,13.06,13.213,31722.45843432,1592.0
1523059200,13.06,13.86,13.06,13.469,13.561,40068.50783672,1574.0
1523145600,13.469,14.537,13.401,14.167,14.012,43422.64526142,1961.0
1523232000,14.167,14.52,13.264,13.626,13.713,59637.75501337,2328.0
1523318400,13.626,13.831,13.264,13.687,13.464,21312.36603826,1319.0
1523404800,13.687,14.646,13.6,14.64,14.088,35765.16470916,1928.0
1523491200,14.64,16.393,13.596,16.209,14.967,122351.80062721,4911.0
1523577600,16.209,16.777,15.515,15.538,16.279,64203.71584033,2793.0
1523664000,15.538,16.449,15.438,16.019,16.013,27826.70913096,1688.0
1523750400,16.019,17.019,16.019,16.881,16.614,32745.15981717,2065.0
1523836800,16.881,16.937,15.612,16.109,16.13,22296.05797755,1784.0
1523923200,16.189,16.88,16.002,16.097,16.391,25982.29513056,1459.0
1524009600,16.097,17.96,16.022,17.697,17.137,51102.57231913,2435.0
1524096000,17.697,18.409,17.472,18.362,17.966,55649.84851039,3649.0
1524182400,18.388,19.791,17.888,19.654,19.033,88265.64184157,4761.0
1524268800,19.679,20.0,17.602,18.673,18.887,61704.0434493,3290.0
1524355200,18.673,19.498,18.251,18.709,18.959,63068.5789153,2404.0
1524441600,18.709,20.91,18.668,20.515,20.194,77074.96949496,3507.0
1524528000,20.515,22.871,20.43,22.064,21.715,118861.15149627,6019.0
1524614400,22.064,22.224,18.101,18.616,19.812,232827.45250036,9770.0
1524700800,18.593,21.598,18.13,21.066,19.497,110036.94978066,5461.0
1524787200,21.066,21.95,20.002,20.53,20.83,116350.13652008,4813.0
1524873600,20.53,22.387,20.42,21.705,21.548,64301.59906143,3607.0
1524960000,21.683,22.32,20.3,21.741,21.261,67351.45367778,3515.0
1525046400,21.741,22.94,21.2,21.69,22.039,90908.00842768,4236.0
1525132800,21.739,21.771,20.462,21.487,20.909,68147.34823477,4111.0
1525219200,21.487,21.804,20.97,21.72,21.377,34768.59125836,1435.0
1525305600,21.72,23.462,21.469,22.67,22.533,62095.67075363,2872.0
1525392000,22.721,22.722,21.65,22.281,22.159,38363.29944078,2496.0
1525478400,22.281,23.194,22.206,22.599,22.768,56745.24859503,2459.0
1525564800,22.599,25.647,22.599,25.185,24.188,111042.76769951,5446.0
1525651200,25.177,25.253,22.486,23.564,23.468,85168.05017024,4499.0
1525737600,23.564,23.767,21.765,22.33,22.702,39849.1097875,3192.0
1525824000,22.33,22.343,20.142,21.333,21.215,101654.32786834,3662.0
1525910400,21.333,21.763,19.47,19.59,20.555,50291.5838455,2995.0
1525996800,19.59,19.75,16.934,17.706,17.844,198449.5322768,6747.0
1526083200,17.706,18.547,16.393,18.062,17.651,75583.03518131,3280.0
