,open,high,low,close,vwap,volume,count
1511308800,361.01,379.9,359.0,379.5,369.37,18917.44468637,5554.0
1511395200,379.5,419.98,372.14,408.75,397.59,63756.44485097,13523.0
1511481600,408.75,469.98,395.08,466.99,432.63,52941.19505495,13521.0
1511568000,466.97,470.0,452.01,460.5,463.49,29884.51709543,10334.0
1511654400,460.5,465.0,445.0,464.19,454.51,23638.31721497,7469.0
1511740800,464.4,475.0,457.0,469.4,468.28,35045.36394938,9485.0
1511827200,469.4,469.9,455.56,461.56,462.78,18143.8733736,8132.0
1511913600,461.58,498.9,411.0,424.0,462.45,75573.40145876,19390.0
1512000000,424.01,458.76,402.61,439.25,427.88,61818.13476287,15436.0
1512086400,438.56,470.0,417.65,462.0,445.72,28273.03573879,10960.0
1512172800,462.0,469.0,450.26,456.65,460.89,15614.83420198,6715.0
1512259200,455.77,477.8,451.0,463.09,466.03,22467.99815691,8118.0
1512345600,462.8,472.0,455.56,467.0,462.6,16286.97945167,6765.0
1512432000,467.0,469.83,455.56,456.0,461.44,16495.0593581,7325.0
1512518400,456.0,463.43,413.01,417.01,440.67,35061.11778371,11825.0
1512604800,418.49,440.93,406.42,409.0,420.37,37248.59941799,8891.0
1512691200,409.0,454.98,402.0,445.31,432.35,29649.2456172,10666.0
1512777600,445.35,495.0,441.73,461.98,468.37,30578.21052237,10329.0
1512864000,461.87,462.22,428.45,430.77,443.77,21815.35015241,10633.0
1512950400,432.0,500.0,430.03,500.0,469.35,31330.5392855,13816.0
1513036800,499.85,630.0,471.46,626.2,548.04,80172.87793404,26520.0
1513123200,626.2,718.97,570.54,680.0,649.07,57475.62032218,20288.0
1513209600,680.0,738.97,653.0,685.0,695.34,38611.62760964,13764.0
1513296000,685.0,692.84,613.01,675.0,656.63,26097.02072867,9763.0
1513382400,675.03,710.0,668.21,689.0,690.91,26890.03145268,12278.0
1513468800,689.0,718.96,687.29,708.0,706.67,20724.66969777,11558.0
1513555200,708.0,794.0,680.0,782.53,737.81,37961.17542094,16824.0
1513641600,780.07,863.0,764.0,808.0,810.11,50224.32106883,21083.0
1513728000,808.0,813.99,720.0,784.55,772.95,37145.32452902,17424.0
1513814400,784.54,819.6,740.0,767.75,779.13,28934.83450617,14802.0
1513900800,767.69,776.87,512.0,674.47,640.96,93245.53778329,26386.0
1513987200,674.47,747.67,647.16,696.35,704.64,26385.1384867,16145.0
1514073600,696.23,705.06,602.1,666.56,648.54,21209.51524258,12995.0
1514160000,666.56,743.13,666.0,720.82,712.88,26449.98970248,14006.0
1514246400,720.82,759.46,714.15,749.08,743.91,15699.38481292,9836.0
1514332800,749.08,766.48,705.0,741.26,742.59,21209.89174113,11429.0
1514419200,741.26,742.99,685.0,722.01,709.13,20511.06643737,11623.0
1514505600,723.0,758.87,713.66,738.0,739.57,19123.83147509,11990.0
1514592000,738.0,738.62,675.06,700.0,702.32,20438.06234427,13423.0
1514678400,700.0,747.95,691.02,745.98,720.08,11294.38161416,8132.0
1514764800,745.98,772.98,725.1,757.01,754.05,16940.59212157,9149.0
1514851200,758.0,879.9,757.01,864.0,844.63,44136.05282176,15834.0
1514937600,861.99,947.92,851.0,938.0,888.4,31187.48311306,10870.0
