,open,high,low,close,vwap,volume,count
1518652800,159.0,159.0,159.0,159.0,0.0,0.0,0.0
1518739200,159.0,159.0,155.0,155.0,155.0,0.199995,1.0
1518825600,155.0,199.0,150.0,187.54,171.5,48.67293487,63.0
1518912000,187.54,187.54,152.0,165.12,161.25,59.43184148,102.0
1518998400,165.12,169.53,153.75,165.91,165.53,13.5363008,43.0
1519084800,165.91,169.74,136.76,136.76,158.7,134.1847296,88.0
1519171200,136.76,155.4,124.67,126.98,137.41,56.02378638,50.0
1519257600,126.98,164.0,121.75,121.75,133.22,144.62905324,84.0
1519344000,121.75,149.51,115.9,144.2,138.09,103.93281058,214.0
1519430400,144.2,148.38,114.59,131.39,140.2,110.53012283,245.0
1519516800,131.39,143.26,125.26,131.85,129.27,45.84833557,53.0
1519603200,131.85,139.99,127.83,136.0,132.66,81.56270259,154.0
1519689600,136.5,140.0,130.36,137.59,136.65,40.3439836,46.0
1519776000,137.59,137.93,126.99,133.67,132.92,24.80253281,46.0
1519862400,133.67,144.59,126.94,140.31,137.18,231.66264562,167.0
1519948800,143.77,143.77,134.75,143.3,138.58,59.29584472,57.0
1520035200,143.3,155.46,136.55,139.29,142.94,84.51911511,97.0
1520121600,139.29,159.99,136.08,146.31,148.2,165.59926645,186.0
1520208000,146.31,154.82,143.27,144.0,148.33,138.20439696,130.0
1520294400,144.0,144.0,130.0,130.45,136.96,70.58647524,93.0
1520380800,130.45,134.41,117.0,123.69,125.99,119.54462463,143.0
1520467200,123.69,129.31,107.27,112.35,116.38,327.71248022,229.0
1520553600,112.35,112.35,96.1,110.6,103.31,214.87247452,176.0
1520640000,110.6,113.99,101.99,102.19,107.55,153.28585584,176.0
1520726400,102.19,129.72,80.28,107.41,104.82,241.93489714,167.0
1520812800,107.41,110.61,101.34,102.83,106.03,100.74072381,133.0
1520899200,102.83,109.39,91.51,103.28,103.03,195.75010314,215.0
1520985600,103.28,105.04,83.01,84.51,91.75,205.33124392,216.0
1521072000,84.51,92.3,80.51,86.0,84.19,180.19928103,149.0
1521158400,86.0,88.55,81.4,85.51,86.29,73.53486018,63.0
1521244800,85.51,85.78,79.89,81.32,82.22,93.68138371,102.0
1521331200,81.32,81.32,72.21,81.09,77.42,315.6206202,273.0
1521417600,81.09,102.72,74.21,86.0,84.45,309.63063545,181.0
1521504000,86.0,98.08,83.66,92.0,87.88,122.8351438,136.0
1521590400,92.0,127.99,89.9,98.22,99.02,286.74681787,187.0
1521676800,98.22,98.22,83.0,85.24,87.55,133.87010897,135.0
1521763200,85.24,87.48,77.26,82.07,81.48,62.94464721,84.0
1521849600,82.07,85.16,78.0,78.0,81.56,80.66466427,94.0
1521936000,78.0,125.49,76.71,80.24,90.16,747.23612661,441.0
1522022400,80.24,89.5,72.0,74.75,78.91,560.68880654,338.0
1522108800,74.75,75.41,53.85,68.19,68.57,335.23473282,194.0
1522195200,67.85,79.87,65.91,68.59,73.51,250.60781198,108.0
1522281600,68.59,68.59,42.78,56.19,59.58,375.72842235,236.0
1522368000,56.19,79.97,51.39,54.88,55.73,289.27709029,129.0
1522454400,54.88,66.89,54.88,57.59,57.91,197.26270597,143.0
1522540800,57.59,60.6,52.0,53.11,55.75,91.14166045,103.0
1522627200,53.11,58.77,53.11,56.3,57.15,110.61843517,64.0
1522713600,56.3,75.0,56.11,65.16,64.34,472.75047727,269.0
1522800000,65.16,85.96,59.42,62.0,65.26,545.73235595,328.0
1522886400,62.0,63.44,58.51,61.07,60.1,129.71835341,106.0
1522972800,61.07,62.66,54.46,56.32,57.6,216.38834556,112.0
1523059200,56.32,61.0,55.98,58.88,58.72,148.39415075,104.0
1523145600,58.88,60.3,57.3,59.82,59.34,141.33299554,80.0
1523232000,59.82,76.0,57.25,58.4,62.29,165.32275388,135.0
1523318400,58.4,68.0,57.39,62.62,60.91,107.05802564,112.0
1523404800,62.62,70.59,62.24,67.09,65.63,390.91913154,205.0
1523491200,67.09,94.97,57.0,76.76,72.96,1164.10586407,482.0
1523577600,76.76,80.48,73.63,78.12,77.19,377.39382117,251.0
1523664000,78.12,97.0,75.51,78.56,81.44,756.8041739,251.0
1523750400,78.56,83.19,77.92,80.7,80.2,281.58857094,189.0
1523836800,80.7,92.99,77.3,87.83,86.03,780.84700165,488.0
1523923200,87.83,124.04,86.0,99.15,99.44,1677.11751648,836.0
1524009600,99.15,109.29,96.35,102.05,100.38,938.09418757,598.0
1524096000,102.05,113.0,100.32,112.6,105.93,895.41087894,639.0
1524182400,112.6,114.87,104.22,112.16,109.61,1151.76938357,745.0
