,open,high,low,close,vwap,volume,count
1568073600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1568160000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1568246400,0.0,0.3,0.0,0.2054,0.2319,320686.07314468,392.0
1568332800,0.2054,0.2272,0.1985,0.1985,0.2085,57667.73754528,128.0
1568419200,0.1985,0.2278,0.1853,0.2029,0.2001,243038.94419136,214.0
1568505600,0.2029,0.2099,0.1996,0.2082,0.2033,13451.56432436,24.0
1568592000,0.2082,0.2084,0.1974,0.2056,0.2032,29574.20443757,56.0
1568678400,0.2056,0.2513,0.2008,0.212,0.2176,171933.71400534,248.0
1568764800,0.212,0.2364,0.2111,0.2262,0.2186,202117.02237967,282.0
1568851200,0.2262,0.227,0.2063,0.2149,0.2116,110225.16899769,165.0
1568937600,0.2149,0.2149,0.2074,0.2087,0.2097,26817.55614259,37.0
1569024000,0.2087,0.2122,0.2069,0.2069,0.2076,13125.39783519,33.0
1569110400,0.2069,0.22,0.2015,0.2015,0.2074,72162.18906554,123.0
1569196800,0.2015,0.2113,0.1939,0.21,0.2001,43668.68831924,53.0
1569283200,0.21,0.21,0.1579,0.166,0.1785,174342.22970281,230.0
1569369600,0.166,0.1974,0.16,0.169,0.1673,72690.05270404,110.0
1569456000,0.169,0.1854,0.15,0.1692,0.1637,144945.3351129,138.0
1569542400,0.1692,0.1692,0.158,0.1648,0.1599,11037.13970634,19.0
1569628800,0.1648,0.1672,0.1628,0.1645,0.1653,49514.77744058,54.0
1569715200,0.1645,0.1645,0.1572,0.1624,0.1617,18659.80734937,22.0
1569801600,0.1624,0.1691,0.1565,0.1676,0.1622,22962.36488333,25.0
1569888000,0.1676,0.1783,0.1661,0.1661,0.1703,19980.51788117,21.0
1569974400,0.1661,0.1681,0.1655,0.1669,0.166,16425.72034791,17.0
1570060800,0.1669,0.1994,0.1628,0.1658,0.1693,191535.95684908,262.0
1570147200,0.1658,0.176,0.1641,0.1716,0.1694,22307.98128514,39.0
1570233600,0.1716,0.1726,0.1674,0.1701,0.1698,23384.29856703,33.0
1570320000,0.1701,0.1836,0.1672,0.1672,0.1689,31795.77317918,23.0
1570406400,0.1672,0.179,0.166,0.1731,0.1743,19551.22620811,22.0
1570492800,0.1731,0.192,0.1725,0.1785,0.1804,43591.61967085,52.0
1570579200,0.1785,0.237,0.1725,0.178,0.1834,164390.44724028,236.0
1570665600,0.178,0.1859,0.171,0.1736,0.1762,39628.8488616,131.0
1570752000,0.1736,0.1763,0.1646,0.1676,0.1677,122355.19235029,108.0
1570838400,0.1676,0.1678,0.1638,0.1661,0.1652,14132.11840061,21.0
1570924800,0.1661,0.1667,0.1648,0.1648,0.1665,10352.31270514,7.0
1571011200,0.1648,0.169,0.1633,0.1671,0.1667,91252.76199139,68.0
1571097600,0.1671,0.1686,0.1567,0.1597,0.1624,89529.73262384,59.0
1571184000,0.1597,0.1694,0.1527,0.1573,0.1596,72836.97281854,89.0
1571270400,0.1573,0.1616,0.1545,0.16,0.1586,26974.81074466,26.0
1571356800,0.16,0.1601,0.1525,0.1534,0.1543,29483.97334571,39.0
1571443200,0.1534,0.1555,0.1532,0.1546,0.1537,6098.57977169,19.0
1571529600,0.1546,0.1569,0.1516,0.1569,0.1546,1725.99934036,4.0
1571616000,0.1569,0.1572,0.1555,0.1569,0.1566,37774.68127349,15.0
1571702400,0.1569,0.1578,0.1543,0.1543,0.1557,20659.43225446,15.0
1571788800,0.1543,0.156,0.1395,0.1436,0.1501,244158.68143102,328.0
1571875200,0.1436,0.1444,0.139,0.1424,0.1409,4711.25102313,8.0
1571961600,0.1424,0.17,0.115,0.1503,0.1406,265705.3822426,104.0
1572048000,0.1503,0.1675,0.1435,0.1455,0.1522,101457.79468073,135.0
1572134400,0.1455,0.2089,0.1455,0.1664,0.1729,347087.56352296,266.0
1572220800,0.1664,0.1787,0.162,0.172,0.1671,94837.03639124,106.0
1572307200,0.172,0.1785,0.1637,0.1686,0.1673,108794.80116552,87.0
1572393600,0.1686,0.1745,0.162,0.1656,0.1675,184678.76131729,200.0
1572480000,0.1656,0.1696,0.158,0.1637,0.1618,76615.8131459,43.0
1572566400,0.1637,0.1653,0.1623,0.1623,0.1628,26110.95717313,23.0
1572652800,0.1623,0.1657,0.1623,0.1657,0.163,13905.51825397,9.0
1572739200,0.1657,0.1657,0.1635,0.1645,0.1645,9373.53330876,5.0
1572825600,0.1645,0.1778,0.1645,0.1775,0.171,38206.77155642,40.0
1572912000,0.1775,0.182,0.1704,0.182,0.1773,50980.38540808,29.0
1572998400,0.182,0.1827,0.179,0.1826,0.1803,37256.3549935,45.0
1573084800,0.1826,0.1904,0.1759,0.1793,0.1858,146639.78380221,124.0
1573171200,0.1793,0.1795,0.1611,0.166,0.1655,28751.93064387,65.0
1573257600,0.166,0.168,0.163,0.163,0.1658,3168.14042853,10.0
1573344000,0.163,0.173,0.1612,0.173,0.168,39547.39079522,45.0
1573430400,0.173,0.173,0.1584,0.1607,0.1613,32756.20826533,19.0
