,open,high,low,close,vwap,volume,count
1569196800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1569283200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1569369600,0.0,2.0998,0.0,1.84791,1.72558,40424.25876193,214.0
1569456000,1.84791,1.85896,1.53451,1.67701,1.68848,28546.5384935,303.0
1569542400,1.67701,1.70165,1.57654,1.69775,1.64094,16547.00469348,181.0
1569628800,1.69775,1.72181,1.65939,1.7,1.68858,11523.56943891,138.0
1569715200,1.7,1.84987,1.65849,1.71263,1.71316,25119.10574318,222.0
1569801600,1.71263,1.83149,1.66619,1.77,1.73015,29761.18176431,402.0
1569888000,1.77,1.89999,1.75154,1.87504,1.82602,70778.81641859,407.0
1569974400,1.87504,2.08994,1.82001,2.05474,1.98187,112718.9139534,734.0
1570060800,2.05474,2.24936,1.9154,1.94718,2.01705,82399.394739,797.0
1570147200,1.94718,1.998,1.88746,1.97625,1.9424,12547.84205138,139.0
1570233600,1.97625,1.98,1.9211,1.97208,1.9537,6329.23865576,73.0
1570320000,1.97208,2.34053,1.95964,2.19,2.12712,30997.10919719,389.0
1570406400,2.19,2.57695,2.11201,2.425,2.41123,144954.27959816,765.0
1570492800,2.425,2.67999,2.27699,2.57239,2.51396,101832.38139297,639.0
1570579200,2.57239,2.97986,2.50841,2.81133,2.7471,143218.04898671,1196.0
1570665600,2.81133,2.978,2.49049,2.64707,2.64666,164007.34112296,1187.0
1570752000,2.64707,2.80838,2.56658,2.743,2.70723,119793.73158534,805.0
1570838400,2.743,2.75306,2.57,2.58257,2.63786,69151.09729612,296.0
1570924800,2.58257,2.63336,2.43441,2.4875,2.51273,27009.86430847,302.0
1571011200,2.4875,2.67,2.4618,2.50914,2.56601,36790.58947795,253.0
1571097600,2.50914,2.61206,2.34,2.3813,2.49492,50335.64077523,343.0
1571184000,2.3813,2.4078,2.195,2.37009,2.28214,83799.66703168,536.0
1571270400,2.37009,2.48997,2.27569,2.4078,2.40376,59985.64946628,531.0
1571356800,2.4078,2.49531,2.32022,2.35809,2.40545,47084.33175794,318.0
1571443200,2.35809,2.39218,2.3016,2.34097,2.34172,14546.15795351,112.0
1571529600,2.34097,2.4458,2.2823,2.4344,2.39104,33355.52126731,236.0
1571616000,2.4344,2.6735,2.4344,2.63509,2.60444,131314.07931544,549.0
1571702400,2.63509,4.0,2.54,2.59191,2.73339,138583.7512042,841.0
1571788800,2.59191,2.6966,2.4,2.62419,2.55701,176579.29119033,950.0
1571875200,2.62419,2.77439,2.62055,2.71885,2.71139,88424.53381906,521.0
1571961600,2.71885,2.98896,2.60705,2.84379,2.8401,167601.9101414,722.0
1572048000,2.84379,3.00227,2.67,2.76487,2.82215,146507.84920422,865.0
1572134400,2.76487,2.76962,2.65001,2.65418,2.68911,95124.14164436,469.0
1572220800,2.65418,3.45,2.65226,2.66456,2.77933,215886.0599229,735.0
1572307200,2.66456,2.75635,2.64101,2.66567,2.69579,69250.00909133,300.0
1572393600,2.66567,2.66789,2.52,2.61255,2.58954,46985.14174002,239.0
1572480000,2.61255,2.7613,2.53862,2.73441,2.66175,35514.26040082,318.0
1572566400,2.73441,2.78,2.65196,2.71369,2.72525,28156.36992726,267.0
1572652800,2.71369,2.73977,2.69076,2.70518,2.71132,11653.04489701,109.0
1572739200,2.70518,2.71379,2.63352,2.6704,2.66614,9743.78798502,92.0
1572825600,2.6704,2.73395,2.63455,2.6843,2.69395,25836.26753623,190.0
1572912000,2.6843,2.69918,2.64,2.68703,2.65345,84761.4666079,279.0
1572998400,2.68703,2.83551,2.65953,2.7564,2.70656,75447.33489399,443.0
1573084800,2.7564,2.7564,2.59542,2.67765,2.6803,72195.7630603,296.0
1573171200,2.67765,2.7253,2.61423,2.71144,2.68045,24568.01202408,175.0
1573257600,2.71144,2.85449,2.70962,2.79745,2.80196,29782.42210753,273.0
1573344000,2.79745,2.8422,2.75597,2.75597,2.79076,51518.16065924,262.0
1573430400,2.75597,2.75597,2.66921,2.7393,2.72376,20935.86410805,156.0
