,open,high,low,close,vwap,volume,count
1511308800,70.19,71.99,69.21,71.88,70.88,19652.00082904,1672.0
1511395200,71.88,75.78,70.21,73.01,73.7,39358.27854881,2418.0
1511481600,73.01,76.0,71.01,75.99,73.9,29814.66455832,2164.0
1511568000,75.99,88.38,75.67,87.16,81.23,45300.18412698,4095.0
1511654400,87.98,88.34,81.0,84.01,84.97,29017.45942235,2621.0
1511740800,84.01,90.3,83.75,89.84,87.99,28977.97810715,2385.0
1511827200,89.6,93.68,88.0,92.87,91.04,31572.10752388,3085.0
1511913600,92.85,102.49,70.02,83.95,93.1,78483.04071567,6074.0
1512000000,83.88,91.99,78.21,87.59,85.46,43489.39632599,3633.0
1512086400,87.58,100.0,82.0,97.43,92.0,43577.30819632,4120.0
1512172800,97.43,102.78,97.0,98.76,99.46,31361.42338046,3016.0
1512259200,98.76,104.0,98.01,100.43,100.97,23560.58396747,2725.0
1512345600,100.43,103.22,98.3,103.1,100.38,15286.73066616,1933.0
1512432000,103.14,104.0,100.33,101.0,102.19,16881.37335715,1854.0
1512518400,101.25,103.45,96.01,97.87,100.68,22972.62535999,2637.0
1512604800,98.54,100.0,90.1,92.98,95.92,30116.08630248,2394.0
1512691200,92.98,125.5,90.5,119.84,111.04,73643.4207827,6115.0
1512777600,120.07,168.0,120.04,148.49,144.44,64543.19013496,7041.0
1512864000,149.48,155.99,125.56,144.39,143.68,36860.81405197,6092.0
1512950400,144.37,219.99,143.16,210.69,185.52,93117.24359193,11755.0
1513036800,210.01,349.0,200.5,290.54,273.51,107898.43596488,15994.0
1513123200,290.66,329.0,260.0,294.61,299.93,50713.26342261,10257.0
1513209600,294.61,307.13,260.0,271.94,284.29,34176.45346182,7640.0
1513296000,271.0,312.54,250.0,299.0,279.28,37936.66870528,6621.0
1513382400,299.0,307.91,285.0,296.17,298.33,18328.68994785,5517.0
1513468800,296.17,325.48,296.17,312.78,312.24,23686.92215671,6262.0
1513555200,312.78,360.94,300.0,353.65,324.2,28825.58634936,6796.0
1513641600,353.61,369.0,310.0,341.64,348.99,26809.61622526,7367.0
1513728000,341.64,344.56,285.0,298.0,311.91,40601.23343554,7839.0
1513814400,298.0,320.0,275.0,297.14,298.75,28125.43677202,7302.0
1513900800,297.14,302.69,181.0,258.63,246.77,56644.26860946,9575.0
1513987200,258.63,310.0,253.19,276.72,283.81,32678.06877961,6722.0
1514073600,276.83,292.75,240.0,264.89,261.47,18165.27419509,4788.0
1514160000,264.89,282.32,258.78,265.89,270.66,10462.16458897,3041.0
1514246400,265.89,285.0,263.06,279.81,277.83,13422.8881428,3080.0
1514332800,279.66,286.76,251.26,264.87,271.35,16286.6230931,4833.0
1514419200,264.87,266.87,228.69,249.45,246.82,16909.0355443,4591.0
1514505600,249.8,283.0,225.0,240.08,249.07,29344.62281501,7082.0
1514592000,240.08,242.78,202.2,212.12,220.83,31213.56755315,7400.0
1514678400,211.82,236.0,207.13,230.3,220.56,12385.68853012,4074.0
1514764800,230.32,237.77,217.87,225.63,227.42,14336.31589843,3158.0
1514851200,225.34,265.0,225.01,254.6,247.14,21667.81598708,4922.0
1514937600,254.6,261.49,240.51,243.0,250.27,18166.57711868,4874.0
1515024000,243.01,246.92,226.6,240.0,236.18,26503.40660268,7590.0
1515110400,239.99,260.0,236.0,240.45,244.91,22027.78009231,5809.0
1515196800,240.45,305.0,240.0,280.53,280.89,43466.14779248,8328.0
1515283200,280.53,286.76,252.4,266.55,276.28,13021.06635299,3708.0
1515369600,269.99,271.45,226.0,254.96,254.79,20159.76357831,4732.0
1515456000,253.53,290.0,239.0,246.85,253.85,16660.71719308,4779.0
1515542400,245.5,254.97,231.75,251.83,241.85,16607.82723258,4627.0
1515628800,251.76,254.0,216.57,230.7,235.91,7425.22214939,1225.0
1515715200,230.7,230.7,230.7,230.7,0.0,0.0,0.0
1515801600,230.7,266.65,230.7,261.85,254.75,13643.54578697,4347.0
1515888000,261.89,280.0,232.0,239.0,249.36,37329.43228674,8894.0
1515974400,239.0,247.48,231.01,231.55,239.62,20909.12215577,6821.0
1516060800,231.55,232.75,150.4,190.73,195.22,80692.38774482,17782.0
1516147200,190.69,204.98,137.86,187.5,175.84,84944.54739567,19579.0
1516233600,187.57,210.0,177.06,192.67,193.79,48079.18236082,14021.0
1516320000,192.67,203.92,187.77,194.41,195.26,28378.95791189,10140.0
1516406400,194.73,215.0,194.49,211.75,206.44,34233.97220577,8412.0
1516492800,211.75,211.75,182.81,190.93,194.1,20418.52653131,8499.0
1516579200,190.93,195.85,165.1,180.01,180.66,32841.5634898,12191.0
1516665600,180.01,187.39,165.25,177.32,176.97,26828.69328029,8613.0
1516752000,177.32,186.13,173.0,180.99,179.13,20253.51124564,7575.0
1516838400,180.99,185.0,175.0,179.05,180.55,17226.60697372,5639.0
1516924800,179.05,182.7,165.37,175.39,173.67,21550.7804645,8441.0
1517011200,175.39,184.07,173.68,180.2,179.69,18098.22732512,5961.0
1517097600,180.2,193.65,180.0,192.16,186.59,19469.48250594,5094.0
1517184000,192.16,193.05,177.79,180.26,182.49,13519.62878616,3984.0
1517270400,180.26,180.67,160.0,163.63,169.35,29872.00623966,7019.0
1517356800,163.63,166.0,155.0,162.3,160.34,22453.4789599,6547.0
1517443200,162.3,164.87,127.0,140.84,145.43,48765.05235478,9414.0
1517529600,140.84,147.0,101.0,131.08,124.91,64975.87246385,14708.0
1517616000,131.08,165.4,117.97,160.7,145.09,45711.00353304,7585.0
1517702400,160.88,174.4,135.88,147.07,156.57,59193.65483042,8452.0
1517788800,147.07,154.9,115.5,122.6,132.52,95685.10920678,13613.0
1517875200,122.6,148.0,103.02,141.91,122.04,117695.52556635,19069.0
1517961600,141.91,159.49,129.94,137.5,145.69,67373.68440756,11764.0
1518048000,137.44,151.0,137.3,149.5,145.98,31067.46628134,5618.0
1518134400,149.5,164.83,141.9,164.83,153.26,26454.49743656,5745.0
