,open,high,low,close,vwap,volume,count
1568073600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1568160000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1568160000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1571788800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1571875200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1571961600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1572048000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1572134400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1572220800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1572220800,0.0,1.189,0.0,1.07,1.089909,14429.12372141,85.0
1572393600,1.07,1.144691,0.9511,1.01,1.003644,32132.38266061,179.0
1572480000,1.01,1.01,0.920331,0.9511,0.957293,12152.96371867,74.0
1572566400,0.9511,0.989226,0.930896,0.989226,0.947235,3063.17930119,31.0
1572652800,0.989226,1.0,0.954543,0.985,0.988412,1939.06096009,21.0
1572739200,0.985,1.006032,0.95,0.952499,0.98427,2959.12109955,14.0
1572825600,0.952499,1.008491,0.952499,1.008491,0.987771,696.36905267,14.0
1572912000,1.008491,1.07252,0.970001,1.025354,1.046244,142635.13333491,2426.0
1572998400,1.025354,1.098921,1.02,1.049033,1.047735,13705.95936258,68.0
1573084800,1.049033,1.049033,0.985625,1.0,1.001492,12765.45707444,54.0
1573171200,1.0,1.003,0.928002,0.96,0.958258,2590.30081719,32.0
1573257600,0.96,0.984521,0.96,0.96,0.970054,1670.13166688,31.0
1573344000,0.96,1.035237,0.96,1.003113,1.006127,19731.30842612,857.0
1573430400,1.003113,1.003113,0.9335,0.95,0.965695,2480.1784217,34.0
