,open,high,low,close,vwap,volume,count
1538092800,4.0,7.0,3.88002,4.01489,4.19797,21188.93967567,305.0
1538179200,4.01489,5.2499,3.725,3.9002,3.94485,24109.22130907,279.0
1538265600,3.9002,5.21,3.811,3.85,3.9671,37623.47419371,437.0
1538352000,3.85,3.99999,3.73001,3.86488,3.85405,7990.35668504,111.0
1538438400,3.87885,3.95811,3.742,3.78,3.82124,46324.02306571,306.0
1538524800,3.78,3.84897,3.0,3.699,3.5191,58871.47973582,680.0
1538611200,3.699,3.95818,3.5311,3.77001,3.77057,23352.26863484,217.0
1538697600,3.77001,3.84699,3.71127,3.816,3.76152,2959.43871864,68.0
1538784000,3.816,3.82599,3.3301,3.75999,3.63246,4871.07013485,60.0
1538870400,3.75999,3.81584,3.66871,3.80284,3.76802,3798.66463088,45.0
1538956800,3.80284,3.9,3.80284,3.87,3.84949,5122.72602551,79.0
1539043200,3.87,3.9,3.78508,3.85991,3.8133,5098.9702982,70.0
1539129600,3.8,4.389,3.71643,3.96596,3.99144,14943.42200707,202.0
1539216000,3.96596,3.96596,3.31,3.32,3.50894,29361.63030763,368.0
1539302400,3.32,3.48052,3.275,3.44644,3.406,10150.72127908,113.0
1539388800,3.44644,3.49686,3.42,3.44,3.43757,2048.81056578,33.0
1539475200,3.44,3.49598,3.34678,3.34678,3.43662,4275.83947221,52.0
1539561600,3.34678,3.63889,3.3,3.56098,3.49221,7339.3361175,106.0
1539648000,3.56098,3.60899,3.4411,3.57337,3.55431,2371.49543137,44.0
1539734400,3.57337,4.13799,3.52308,3.93697,3.88993,22641.38177121,279.0
1539820800,3.93697,3.97781,3.70942,3.75003,3.8398,16810.16833309,228.0
1539907200,3.75003,4.939,3.70709,3.87603,4.07372,21558.72662378,269.0
1539993600,3.87603,4.423,3.80788,4.0,3.97274,8724.92605697,123.0
1540080000,4.0,4.4,3.8799,4.17,4.25348,14827.39582109,234.0
1540166400,4.17,6.5,4.03448,4.35,4.50539,38051.43351732,508.0
1540252800,4.35,4.366,4.0,4.0981,4.17442,19068.89245502,297.0
1540339200,4.0981,4.25562,4.0981,4.151,4.15439,13869.6728937,121.0
1540425600,4.151,4.151,3.95876,4.00328,4.04039,15869.30722038,277.0
1540512000,4.00328,4.03196,3.89231,3.96794,3.95671,11527.33772381,172.0
1540598400,3.96794,4.08399,3.95279,3.97535,4.02924,9509.89237966,205.0
1540684800,3.97535,4.04,3.95856,4.00201,4.01339,3692.78407308,51.0
1540771200,4.00201,4.4,3.675,3.80288,3.81847,18837.22349791,299.0
1540857600,3.74,3.83566,3.7,3.74888,3.75341,2030.6357616,42.0
1540944000,3.74888,3.86563,3.7,3.83067,3.77483,8367.19876459,107.0
1541030400,3.83067,3.8912,3.79709,3.83417,3.82448,3431.90803185,44.0
1541116800,3.83417,3.95,3.83417,3.9169,3.93042,4778.95357079,55.0
1541203200,3.9169,3.9169,3.83,3.83,3.86406,1028.411902,36.0
1541289600,3.83,4.05597,3.8151,3.99576,3.93879,6718.71616848,150.0
1541376000,3.99576,3.99576,3.85,3.89586,3.90114,3930.51751543,66.0
1541462400,3.89586,4.02754,3.8,4.02754,3.94021,7795.3999234,136.0
1541548800,4.02754,4.27049,4.02387,4.1,4.18273,24743.6316917,337.0
1541635200,4.1,4.1,3.94,3.96,3.99499,6740.06912095,126.0
1541721600,3.96,3.98473,3.82524,3.85373,3.89234,3121.79865034,98.0
1541808000,3.85373,3.90595,3.813,3.88998,3.85283,3763.54146218,51.0
1541894400,3.88998,3.91896,3.74101,3.81421,3.79337,9794.73958687,183.0
1541980800,3.81421,3.84396,3.74012,3.77993,3.77124,5543.9783669,100.0
1542067200,3.77993,3.77993,3.68133,3.68133,3.71909,13214.88646336,137.0
