,open,high,low,close,vwap,volume,count
1518652800,20.522,20.522,20.522,20.522,0.0,0.0,0.0
1518739200,20.522,52.0,20.522,52.0,52.0,1.0,2.0
1518825600,52.0,67.0,51.0,57.985,55.435,780.91112708,166.0
1518912000,57.985,74.5,40.0,51.0,55.993,2779.92509259,301.0
1518998400,51.0,66.0,40.277,55.15,54.537,713.0622624,218.0
1519084800,55.15,55.188,50.0,50.0,52.191,1149.72859725,119.0
1519171200,50.15,52.223,45.0,49.41,47.183,569.76575372,145.0
1519257600,49.41,49.41,42.572,42.645,44.692,852.32420945,125.0
1519344000,42.645,48.5,42.0,43.064,44.601,527.97951921,145.0
1519430400,43.064,48.0,41.754,42.651,44.433,476.27844899,257.0
1519516800,42.651,45.166,42.36,43.82,43.008,201.02969791,34.0
1519603200,43.82,47.222,42.81,47.12,45.134,294.95097946,139.0
1519689600,47.12,52.707,45.6,48.539,48.455,566.94272998,143.0
1519776000,48.855,51.032,43.26,45.084,47.863,876.80751143,94.0
1519862400,45.084,52.79,43.26,46.775,46.898,1080.98968529,144.0
1519948800,47.313,48.853,45.002,45.271,46.3,514.94769892,125.0
1520035200,45.271,49.22,45.07,47.641,47.784,632.88502178,120.0
1520121600,47.641,48.37,45.111,46.681,45.589,587.82978232,97.0
1520208000,46.681,47.238,45.681,46.645,46.543,828.39647321,132.0
1520294400,46.645,46.645,42.02,43.987,44.747,1089.7427199,129.0
1520380800,43.987,43.987,36.03,41.224,41.222,1480.62076163,203.0
1520467200,41.224,41.5,37.181,38.8,38.892,416.94085878,79.0
1520553600,38.8,38.846,33.93,36.797,35.981,1526.25066672,292.0
1520640000,36.797,38.418,27.26,33.0,34.201,1324.64603302,130.0
1520726400,33.0,37.84,30.637,36.964,34.235,748.0017031,138.0
1520812800,36.964,37.362,33.495,33.495,36.712,347.96278315,83.0
1520899200,33.495,38.718,33.495,38.718,37.114,990.24700226,155.0
1520985600,38.718,39.54,29.96,31.187,34.658,2394.28153439,389.0
1521072000,31.187,32.933,29.235,32.26,31.012,904.81364448,168.0
1521158400,32.26,34.919,30.443,33.0,33.568,658.39752024,132.0
1521244800,33.0,33.476,30.0,31.0,31.141,2298.49721815,183.0
1521331200,31.0,31.0,25.998,29.775,26.616,5249.94754288,260.0
1521417600,29.775,39.47,29.074,32.963,34.396,1948.41125193,342.0
1521504000,32.963,36.0,32.221,35.371,33.558,1420.66007603,238.0
1521590400,35.371,37.0,34.34,35.505,35.811,881.98070584,131.0
1521676800,36.211,36.638,33.981,35.724,35.166,663.02380182,124.0
1521763200,35.724,36.5,32.35,35.607,34.879,5954.49262092,592.0
1521849600,35.607,37.0,34.723,35.12,35.554,1537.57150115,137.0
1521936000,35.12,35.12,33.508,34.56,34.339,348.30247047,100.0
1522022400,34.56,35.593,31.251,34.77,33.337,1106.54561549,249.0
1522108800,34.77,35.14,24.9,26.027,31.433,888.93336929,169.0
1522195200,26.027,36.22,26.027,33.445,33.623,542.23586561,117.0
1522281600,33.445,33.729,25.592,27.0,28.885,1197.06559815,284.0
1522368000,27.0,28.282,24.9,25.8,26.28,2049.17216852,320.0
1522454400,25.8,27.15,25.529,25.553,26.505,906.28879756,181.0
1522540800,25.553,26.529,23.541,24.511,24.691,753.61884363,129.0
1522627200,24.511,26.888,24.511,25.63,25.243,1024.29639048,134.0
1522713600,25.63,29.95,25.512,27.783,26.925,3194.2930019,410.0
1522800000,27.783,27.783,23.165,23.47,24.924,723.35064787,127.0
1522886400,23.47,30.0,23.47,26.549,26.469,3588.62674631,516.0
1522972800,26.549,26.805,23.705,24.0,24.495,461.11935239,84.0
