,open,high,low,close,vwap,volume,count
1569283200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1569369600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1570320000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1570406400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1570492800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1570579200,0.0,0.01,0.0,0.002,0.00233,10356985.30184079,264.0
1570665600,0.002,0.00213,0.00182,0.00204,0.00195,89576500.07741892,551.0
1570752000,0.00204,0.003,0.00167,0.00206,0.00201,105076848.38553627,2110.0
1570838400,0.00206,0.00288,0.00201,0.0024,0.00248,18953885.68497542,514.0
1570924800,0.0024,0.00271,0.0022,0.00231,0.00235,14175347.57109912,367.0
1571011200,0.00231,0.00251,0.00221,0.00233,0.00235,4760603.12307978,146.0
1571097600,0.00233,0.00236,0.0021,0.00211,0.0022,5931665.58441837,183.0
1571184000,0.00211,0.0023,0.00186,0.002,0.00204,14939153.54468489,326.0
1571270400,0.002,0.0022,0.00198,0.00219,0.0021,4158707.70012187,111.0
1571356800,0.00219,0.00232,0.00201,0.00203,0.00212,9933614.24049514,249.0
1571443200,0.00203,0.00223,0.00202,0.00207,0.00207,6588906.80835622,183.0
1571529600,0.00207,0.00215,0.002,0.00205,0.00207,11296988.77972428,146.0
1571616000,0.00205,0.00212,0.002,0.00201,0.00202,2553447.13355249,96.0
1571702400,0.00201,0.00201,0.00186,0.00194,0.00196,2197927.95654222,66.0
1571788800,0.00194,0.00195,0.00176,0.00177,0.00183,3377740.34783116,104.0
1571875200,0.00177,0.00191,0.00176,0.00187,0.00183,4948864.48120153,121.0
1571961600,0.00187,0.00206,0.00183,0.002,0.00198,6922953.08203301,135.0
1572048000,0.002,0.00227,0.00187,0.00194,0.00197,10735260.10138782,290.0
1572134400,0.00194,0.00208,0.00191,0.00208,0.00203,1105876.20369897,43.0
1572220800,0.00208,0.00209,0.00192,0.00194,0.00202,6284477.57665539,182.0
1572307200,0.00194,0.00202,0.00194,0.00197,0.00198,2463230.20484223,82.0
1572393600,0.00197,0.00208,0.00194,0.00205,0.00202,4908079.36821283,233.0
1572480000,0.00205,0.00209,0.00199,0.00199,0.00203,2162739.0928111,81.0
1572566400,0.00199,0.0021,0.0019,0.00208,0.00202,2858866.60551169,112.0
1572652800,0.00208,0.00213,0.00202,0.00211,0.00208,964836.09606869,56.0
1572739200,0.00211,0.00212,0.00201,0.0021,0.00208,1164125.41942245,52.0
1572825600,0.0021,0.00214,0.00205,0.00208,0.00209,1791729.22796923,48.0
1572912000,0.00208,0.00213,0.00204,0.00209,0.00207,3584916.64112612,82.0
1572998400,0.00209,0.00209,0.00199,0.00207,0.00203,2845214.93499446,65.0
1573084800,0.00207,0.0021,0.002,0.00209,0.00204,3604170.04252865,111.0
1573171200,0.00209,0.00211,0.002,0.00205,0.00203,3044091.54451831,90.0
1573257600,0.00205,0.00205,0.00199,0.00202,0.00199,1091138.17607309,44.0
1573344000,0.00202,0.00205,0.00199,0.00201,0.00201,844929.6277722,44.0
1573430400,0.00201,0.00218,0.00198,0.00198,0.00202,3653858.5924939,125.0
