,open,high,low,close,vwap,volume,count
1511308800,0.9807,1.001,0.9789,0.9985,0.9961,840247.81432684,1370.0
1511395200,0.9985,0.999,0.98,0.995,0.9957,317659.19279078,570.0
1511481600,0.995,1.002,0.986,0.991,0.9965,634101.17449597,898.0
1511568000,0.991,0.9986,0.988,0.997,0.9946,271012.89882067,226.0
1511654400,0.9986,1.001,0.9883,0.9961,0.9964,483991.61033428,593.0
1511740800,0.9961,1.003,0.991,0.9978,0.9976,480823.83258624,542.0
1511827200,0.9978,0.9978,0.9791,0.9924,0.9898,531204.62105873,454.0
1511913600,0.9924,0.999,0.95,0.9988,0.9913,1505144.78868359,2076.0
1512000000,0.9988,1.0198,0.9959,1.0067,1.0076,1613512.87883384,2244.0
1512086400,1.0095,1.029,1.0005,1.0084,1.0083,445472.9544131,780.0
1512172800,1.0084,1.0095,0.9826,0.9959,0.9982,970640.38014831,21276.0
1512259200,0.9959,0.998,0.984,0.9977,0.9954,1303853.28432487,61853.0
1512345600,0.9977,1.0045,0.986,1.002,1.0008,2913128.05706076,35304.0
1512432000,1.0039,1.004,0.985,1.0,1.0003,1714213.05132144,26244.0
1512518400,0.9998,1.035,0.9967,1.0117,1.0058,2380982.72184215,13750.0
1512604800,1.0119,1.05,1.0001,1.014,1.0203,1724152.4775729,4190.0
1512691200,1.014,1.05,1.004,1.0067,1.0179,631227.7670344,820.0
1512777600,1.0067,1.0199,1.0001,1.0014,1.0064,488006.77194723,765.0
1512864000,1.0014,1.0228,1.0,1.002,1.0088,839050.53260769,18661.0
1512950400,1.002,1.0198,1.0,1.0053,1.0098,896904.64041389,24901.0
1513036800,1.0053,1.0267,1.0007,1.02,1.0136,1315033.05726312,6728.0
1513123200,1.02,1.048,1.002,1.002,1.0177,1219821.54506078,1086.0
1513209600,1.002,1.0299,1.002,1.0033,1.0116,1068245.10764421,705.0
1513296000,1.0033,1.02,1.002,1.002,1.0076,1060170.37854511,594.0
1513382400,1.002,1.0099,1.002,1.0052,1.0059,883877.72551213,1585.0
1513468800,1.0052,1.0059,0.99,0.9958,0.9994,1591073.75436334,1915.0
1513555200,0.9958,1.0088,0.9953,0.9985,1.0014,2083154.02601927,1588.0
1513641600,0.9986,1.0263,0.99,1.0129,1.0045,1984954.55094204,2450.0
1513728000,1.0129,1.0145,0.9909,0.9945,1.0005,1891160.96845994,1515.0
1513814400,0.9942,1.0009,0.9713,0.995,0.9929,1616767.53814143,1249.0
1513900800,0.995,1.042,0.9801,1.0257,1.0054,4774150.98258607,2324.0
1513987200,1.0257,1.0444,1.0107,1.0297,1.0293,2499330.93307284,2576.0
1514073600,1.0297,1.0598,1.011,1.024,1.0321,3450850.96101531,2610.0
1514160000,1.024,1.0275,1.0,1.0109,1.0095,3450740.59717267,3342.0
1514246400,1.0109,1.02,0.9993,1.0035,1.0092,2868269.72254479,2550.0
1514332800,1.0035,1.012,0.9952,1.011,1.0043,1771781.50703122,2571.0
1514419200,1.011,1.0285,1.0014,1.0196,1.0158,4537543.15268748,2613.0
1514505600,1.0189,1.025,1.0107,1.0161,1.0178,1804522.67037312,2049.0
1514592000,1.0161,1.03,1.016,1.0161,1.0243,4025506.19692294,2500.0
1514678400,1.0161,1.026,1.015,1.019,1.0183,879603.57434634,1150.0
1514764800,1.0191,1.0253,1.0061,1.0076,1.0155,1612946.8434025,2412.0
1514851200,1.0095,1.023,1.0075,1.0175,1.0139,900769.3944304,1881.0
1514937600,1.0174,1.0189,1.005,1.007,1.011,1321872.98249125,1656.0
1515024000,1.0065,1.02,1.0055,1.0155,1.0151,2369061.39145628,2236.0
1515110400,1.015,1.0199,0.9993,1.005,1.0091,3135868.47067004,2867.0
1515196800,1.005,1.0074,0.9955,1.0016,1.0005,1811721.26840664,2900.0
1515283200,1.0016,1.0045,0.99,0.997,0.9966,1151821.39939878,2155.0
1515369600,0.997,1.0048,0.972,1.0048,0.9903,3217563.13714686,2893.0
1515456000,1.0048,1.01,1.0001,1.008,1.0061,2399860.6237324,1939.0
1515542400,1.0085,1.0099,0.996,1.0,1.0036,2960402.36855682,2016.0
1515628800,1.0,1.009,0.9942,0.9985,1.0017,1240891.71218164,695.0
1515715200,0.9985,0.9985,0.996,0.9985,0.9972,60.0,6.0
1515801600,0.9985,1.017,0.9926,1.01,1.0085,769870.64067304,746.0
1515888000,1.01,1.019,0.9995,1.0082,1.0064,5387514.91227188,5318.0
1515974400,1.0074,1.0143,1.0,1.0034,1.0045,5924777.78341414,6271.0
1516060800,1.0034,1.0434,1.0018,1.03,1.018,8321774.34390401,10920.0
1516147200,1.0298,1.045,1.0031,1.0126,1.019,11241861.04237061,9780.0
1516233600,1.0126,1.0779,1.0118,1.0235,1.0265,4569710.6174155,4352.0
1516320000,1.0235,1.06,1.015,1.0174,1.024,7380190.94790805,5266.0
1516406400,1.0173,1.02,1.0054,1.0122,1.0116,3065323.72026514,2390.0
1516492800,1.0122,1.016,1.0051,1.0068,1.0081,2307435.24224648,4025.0
1516579200,1.0068,1.015,1.002,1.0093,1.0071,4271062.08125043,3499.0
1516665600,1.0093,1.0115,1.0,1.003,1.0038,5878230.2405875,5204.0
1516752000,1.003,1.0088,1.0013,1.0036,1.0051,4806522.31044609,4279.0
1516838400,1.0036,1.0087,0.9964,1.0028,1.0027,4818833.59637941,3880.0
1516924800,1.0028,1.0054,0.9968,1.0004,1.0003,3097241.9920888,5102.0
1517011200,1.0004,1.0087,0.995,0.995,1.0016,4898148.47469985,3994.0
1517097600,0.995,0.997,0.934,0.9795,0.9792,5221368.08834905,6555.0
1517184000,0.9786,0.998,0.941,0.9913,0.9857,5909256.35419697,4715.0
1517270400,0.9913,0.9999,0.9751,0.9803,0.9883,14082168.19506552,5698.0
1517356800,0.9803,0.9988,0.9765,0.985,0.9863,5986542.90591011,5744.0
1517443200,0.985,0.9946,0.97,0.9794,0.9855,11729549.10195014,7308.0
1517529600,0.9794,0.9897,0.94,0.9883,0.9781,10264012.37978346,9511.0
1517616000,0.9883,0.9968,0.9811,0.9916,0.9875,3674886.90538839,2879.0
1517702400,0.9916,0.9968,0.985,0.9914,0.9935,2484040.38100425,1908.0
1517788800,0.9914,0.9964,0.982,0.9842,0.9892,6034267.17846835,5528.0
1517875200,0.9842,1.0045,0.97,1.0003,0.9921,10244446.66584325,8117.0
1517961600,1.0003,1.0138,0.995,0.9986,1.003,3389101.03974008,4151.0
1518048000,0.9981,1.0035,0.995,0.9975,0.9985,1760142.7064485,2519.0
1518134400,0.9975,1.0071,0.997,1.0011,1.0004,1718217.36950174,1593.0
1518220800,1.0011,1.0071,1.0,1.0004,1.003,2991510.91048734,4836.0
1518307200,1.0004,1.005,0.9981,0.9997,1.0014,2447342.20905933,3685.0
1518393600,0.9997,1.0039,0.998,0.9992,1.0006,1511297.2796166,2606.0
1518480000,0.9992,1.0049,0.998,1.0,1.0011,1579828.91428492,2742.0
1518566400,0.9997,1.0045,0.9994,1.0008,1.0014,1655992.48969423,3414.0
1518652800,1.0008,1.0071,1.0003,1.0031,1.0034,2359096.92601771,3551.0
1518739200,1.0033,1.0043,1.0015,1.0027,1.0028,1692884.04234601,2161.0
1518825600,1.0023,1.0062,1.0011,1.0047,1.0031,1376004.96637294,2131.0
1518912000,1.0047,1.014,1.0022,1.0048,1.0061,3457260.89383293,3567.0
1518998400,1.0048,1.0071,1.0016,1.002,1.0037,1699055.4968299,1633.0
1519084800,1.002,1.005,1.0,1.0012,1.0013,2580068.0601458,2799.0
1519171200,1.0011,1.006,0.997,1.002,1.0012,3889319.62720768,3406.0
1519257600,1.002,1.0027,0.999,1.0008,1.0013,2556477.099546,3082.0
1519344000,1.0008,1.0024,1.0001,1.0001,1.001,2752418.85678236,3196.0
1519430400,1.0001,1.0026,1.0001,1.0012,1.0016,1899790.4948698,2903.0
1519516800,1.0012,1.005,1.0002,1.0008,1.0018,2832267.28612459,2196.0
1519603200,1.0008,1.0035,0.9995,1.0005,1.0018,4391782.83476563,3317.0
1519689600,1.0008,1.0033,1.0005,1.0011,1.0009,1169834.34139796,1771.0
1519776000,1.0011,1.0021,0.9995,0.9999,1.0008,2053468.78805267,2764.0
1519862400,0.9999,1.0039,0.9983,0.9998,1.0004,3724380.89745929,3790.0
1519948800,1.0,1.001,0.999,0.9991,0.9999,773467.93883583,1358.0
1520035200,0.9991,1.0008,0.999,0.9991,0.9997,902927.11482026,3371.0
1520121600,0.9991,1.0008,0.9991,1.0,0.9997,980938.30797292,2000.0
1520208000,1.0,1.0,0.9997,1.0,0.9997,2607138.24617555,816.0
1520294400,1.0,1.0003,0.9996,1.0002,0.9998,2762899.29788816,1207.0
1520380800,1.0002,1.002,0.9996,1.0012,1.0001,2387849.37086961,2953.0
1520467200,1.0012,1.006,0.9995,1.0011,1.0018,5016608.319245,2757.0
1520553600,1.0011,1.007,0.9991,1.0014,1.002,2657783.95155855,5141.0
1520640000,1.0014,1.0078,0.9999,1.0017,1.0018,1195762.6122913,2282.0
1520726400,1.0017,1.0039,0.9995,1.0008,1.0005,957058.65745148,2568.0
1520812800,1.0008,1.0049,0.9984,0.9999,1.0,1088501.39359681,3115.0
1520899200,0.9999,1.004,0.998,1.0008,1.0008,1974013.94638485,1957.0
1520985600,1.0008,1.0029,0.9944,0.9984,0.9997,1810711.28756944,2486.0
1521072000,0.9984,1.005,0.9921,0.9994,1.0006,3972352.20741668,3020.0
1521158400,0.9994,1.0014,0.9965,1.0,0.9996,1282710.31540433,1559.0
1521244800,1.0,1.0014,0.9924,1.001,0.999,963306.10287656,1786.0
1521331200,1.001,1.002,0.9921,0.9969,0.9992,2703420.35888938,3032.0
1521417600,0.9979,1.0038,0.99,1.0,0.9992,2006414.00481294,2394.0
1521504000,1.0,1.003,0.997,1.0013,0.9998,1781019.69816899,2529.0
1521590400,1.0013,1.0013,0.992,1.0007,0.9987,1023296.1155285,2611.0
1521676800,1.0006,1.0012,0.9996,1.0003,1.0004,1001875.46226773,1550.0
1521763200,1.0003,1.001,0.9981,1.0001,1.0002,1496714.23592166,2122.0
1521849600,1.0001,1.0009,0.9983,1.0009,1.0,688671.89626366,1705.0
1521936000,1.0009,1.001,0.9981,1.0006,1.0,586834.58527338,1510.0
1522022400,1.0006,1.001,0.998,1.001,1.0001,1228701.09782947,2288.0
1522108800,1.001,1.0027,0.9984,1.0005,1.0002,1473992.83033486,2436.0
1522195200,1.0005,1.002,0.9988,0.9996,0.9998,718496.59056326,1065.0
1522281600,0.9996,1.0037,0.995,0.9974,0.9981,2951693.07273584,4512.0
1522368000,0.9974,1.0012,0.9925,0.995,0.9967,2523603.97056163,3976.0
1522454400,0.995,1.0004,0.995,0.9972,0.9983,341583.51415339,1071.0
1522540800,0.9972,1.0012,0.9935,0.9999,0.9978,1969062.59008247,2386.0
1522627200,0.9999,1.0012,0.9973,0.9996,0.9995,614543.27954924,2613.0
1522713600,0.9996,1.0012,0.9953,1.0,0.9995,1159662.77921907,3780.0
