,open,high,low,close,vwap,volume,count
1566432000,0.0,1.5821,0.0,1.3055,1.3031,7135.92715149,65.0
1566518400,1.3055,1.4799,1.2539,1.303,1.3007,50901.43535793,771.0
1566604800,1.303,1.3454,1.2782,1.298,1.3108,18723.57577211,163.0
1566691200,1.298,1.3197,1.2437,1.2437,1.2783,14428.35217382,92.0
1566777600,1.2437,1.3098,1.2437,1.2887,1.2901,26574.46283281,98.0
1566864000,1.2887,1.2887,1.22,1.2249,1.2333,7745.10365527,47.0
1566950400,1.2249,1.2432,1.1281,1.1669,1.1957,32849.64035897,176.0
1567036800,1.1669,1.1669,1.0953,1.1086,1.1175,5386.44182797,67.0
1567123200,1.1086,1.1344,1.1023,1.1232,1.1243,4341.23535447,41.0
1567209600,1.1232,1.1288,1.0687,1.1043,1.0951,4210.14922348,30.0
1567296000,1.1043,1.114,1.073,1.1097,1.0925,5789.56300107,46.0
1567382400,1.1097,1.1476,1.1097,1.1476,1.1268,11008.74688167,108.0
1567468800,1.1476,1.1584,1.1165,1.1463,1.1406,14289.60347786,127.0
1567555200,1.1463,1.1463,1.1098,1.1262,1.129,6215.1485013,58.0
1567641600,1.1262,1.1431,1.0918,1.1085,1.1168,9108.11416741,82.0
1567728000,1.1085,1.1156,1.0351,1.0508,1.071,15050.77683093,97.0
1567814400,1.0508,1.0797,1.0508,1.073,1.0693,7506.5909593,59.0
1567900800,1.073,1.0811,1.0498,1.0639,1.0705,10951.84472734,54.0
1567987200,1.0639,1.1129,1.0426,1.07,1.0737,26802.67298862,136.0
1568073600,1.0722,1.0722,1.035,1.0361,1.052,4014.35294885,30.0
1568160000,1.0361,1.0448,1.0146,1.0178,1.0259,7594.93526459,48.0
1568246400,1.0178,1.0332,1.0081,1.03,1.021,13433.08857229,70.0
1568332800,1.03,1.0305,0.9996,1.0305,1.0173,6671.08030831,54.0
1568419200,1.0305,1.0343,1.0119,1.0343,1.0254,9711.13544437,43.0
1568505600,1.0343,1.0756,1.0272,1.0703,1.0526,14422.25821262,82.0
1568592000,1.0703,1.0918,1.0337,1.0646,1.0669,25333.18230676,151.0
1568678400,1.0646,1.1096,1.0448,1.1,1.0895,36830.88484089,216.0
1568764800,1.1,1.1886,1.1,1.15,1.1529,26938.58868918,193.0
1568851200,1.15,1.15,1.0448,1.0778,1.0718,25607.28685625,149.0
1568937600,1.0778,1.0847,1.03,1.0438,1.057,23560.41545878,62.0
1569024000,1.0438,1.0543,1.0197,1.0197,1.0326,10617.5224919,36.0
1569110400,1.0197,1.0875,0.9813,1.0875,1.0145,48319.05131629,320.0
1569196800,1.1,1.192,0.9982,1.004,1.096,57430.74514619,476.0
1569283200,1.004,1.0353,0.803,0.84,0.8948,50294.37173286,209.0
1569369600,0.84,0.8639,0.8112,0.8563,0.8349,30296.20399382,143.0
1569456000,0.8563,0.8833,0.7729,0.83,0.8207,24418.65272053,222.0
1569542400,0.83,1.0,0.804,0.8388,0.8347,36511.32151112,169.0
1569628800,0.8388,0.8572,0.8321,0.8423,0.8444,24063.54257864,127.0
1569715200,0.8423,0.8423,0.81,0.82,0.8198,3611.90834557,39.0
1569801600,0.82,0.8633,0.796,0.84,0.8417,47083.17644964,274.0
1569888000,0.84,0.851,0.8207,0.83,0.8434,1281.02614169,27.0
1569974400,0.83,0.8334,0.8194,0.8334,0.8274,306.44984714,11.0
1570060800,0.8334,0.8832,0.82,0.8557,0.8667,266517.66022368,1072.0
1570147200,0.8557,0.9,0.843,0.89,0.8844,9546.58967247,59.0
1570233600,0.89,0.9216,0.8653,0.92,0.9042,3255.75507704,51.0
1570320000,0.92,0.9305,0.87,0.87,0.8921,3007.6202841,25.0
1570406400,0.87,0.9139,0.87,0.91,0.9042,5209.94113462,58.0
1570492800,0.91,0.923,0.89,0.8998,0.9029,1141.52722559,26.0
1570579200,0.8998,0.9495,0.8998,0.9254,0.9284,13107.95514494,63.0
1570665600,0.9254,0.9745,0.8928,0.902,0.9335,5130.85836841,38.0
1570752000,0.902,0.9039,0.8485,0.858,0.88,28630.00626085,177.0
1570838400,0.858,0.8643,0.8457,0.8483,0.8498,7060.71602256,26.0
1570924800,0.8483,0.8493,0.8343,0.8372,0.8433,5645.60856809,21.0
1571011200,0.8372,0.8793,0.8372,0.8778,0.8487,8334.8070434,27.0
1571097600,0.8778,0.891,0.8571,0.8571,0.8773,2095.78443059,28.0
1571184000,0.8571,0.8571,0.7971,0.8151,0.829,3949.80190184,25.0
1571270400,0.8151,0.8408,0.8151,0.8408,0.8271,2352.20379304,24.0
1571356800,0.8408,0.8408,0.8021,0.8164,0.811,1849.86649565,26.0
1571443200,0.8164,0.8164,0.7897,0.7984,0.7981,17126.04767064,32.0
1571529600,0.7984,0.8125,0.7888,0.8103,0.7928,29373.51266401,63.0
1571616000,0.8103,0.8142,0.7938,0.81,0.8054,2276.34036093,29.0
1571702400,0.81,0.82,0.8,0.8,0.806,2325.18074215,17.0
1571788800,0.8,0.8,0.6945,0.7128,0.723,7122.56210045,65.0
1571875200,0.7128,0.72,0.7,0.7113,0.7104,2564.91259255,23.0
1571961600,0.7113,0.7767,0.7113,0.7619,0.7556,10028.91497157,39.0
1572048000,0.7619,0.817,0.7332,0.7354,0.7827,44895.78725699,119.0
1572134400,0.7354,0.8251,0.7354,0.7987,0.797,13240.83249813,55.0
1572220800,0.7987,0.8241,0.7813,0.8139,0.8127,10264.65835605,33.0
1572307200,0.81,0.8701,0.81,0.8273,0.8442,35428.19631799,104.0
1572393600,0.8273,0.828,0.7786,0.7918,0.7977,16656.96144183,59.0
1572480000,0.7918,0.7918,0.769,0.7775,0.7809,16744.30168714,40.0
1572566400,0.7775,0.7934,0.7775,0.7934,0.7854,1888.50581342,18.0
1572652800,0.7934,0.8106,0.7934,0.7968,0.7998,3413.60434889,27.0
1572739200,0.7968,0.8075,0.78,0.7883,0.7888,1008.11900689,32.0
1572825600,0.7893,0.8439,0.7893,0.8125,0.8059,12061.6197348,49.0
1572912000,0.8125,0.84,0.805,0.8258,0.8192,21312.6602521,43.0
1572998400,0.8258,0.8304,0.8064,0.812,0.8181,10445.45838863,51.0
1573084800,0.812,0.8345,0.7945,0.81,0.819,39283.50281976,71.0
1573171200,0.81,0.8188,0.7427,0.7766,0.7708,18024.60948802,54.0
1573257600,0.7766,0.7787,0.7644,0.7736,0.7696,350.51494606,17.0
1573344000,0.7736,0.8079,0.7675,0.7975,0.7908,13442.41385401,42.0
1573430400,0.7975,0.7975,0.7676,0.7759,0.7857,2721.62508336,12.0
