,open,high,low,close,vwap,volume,count
1511308800,8100.8,8300.0,8025.4,8250.6,8203.2,2821.81601548,10149.0
1511395200,8251.5,8290.0,8030.0,8030.0,8156.8,3096.81717503,12418.0
1511481600,8028.7,8277.7,7850.0,8173.1,8059.1,4049.82022353,14316.0
1511568000,8174.1,8697.1,8100.0,8690.0,8447.5,2680.85325729,14367.0
1511654400,8691.8,9388.0,8691.8,9174.3,9028.1,3057.99198996,14657.0
1511740800,9174.3,9654.7,9155.6,9580.0,9494.2,3131.80533832,16069.0
1511827200,9580.0,9885.2,9411.0,9800.0,9727.2,2475.90411229,13985.0
1511913600,9820.0,11379.8,9000.2,9795.8,10256.5,9649.86209377,38854.0
1512000000,9773.1,10680.1,9220.8,10088.5,9894.1,6997.11120759,31477.0
1512086400,10087.8,10961.2,9450.0,10896.1,10279.0,4122.13545917,22778.0
1512172800,10887.1,11198.6,10673.0,10901.0,10926.7,2623.40366774,16160.0
1512259200,10901.0,11777.0,10701.6,11235.1,11274.6,4153.48733109,20147.0
1512345600,11242.0,11663.9,11006.3,11638.0,11387.4,3476.47232317,15707.0
1512432000,11638.0,11850.0,11502.2,11736.2,11696.7,3104.56707877,15605.0
1512518400,11723.4,13850.0,11723.4,13737.7,12706.8,4902.64155944,23512.0
1512604800,13733.4,15958.0,13699.0,15899.0,14808.5,6695.61549516,25120.0
1512691200,15899.0,16986.0,14201.6,15921.9,15482.6,4718.38587644,27371.0
1512777600,15921.9,16100.0,13200.0,14682.9,14689.9,3770.61362482,20909.0
1512864000,14682.9,15700.0,13000.0,14850.3,14524.0,4216.60716677,27172.0
1512950400,14850.0,17423.0,14850.0,16578.0,16492.4,4505.52736884,30545.0
1513036800,16568.1,17390.1,16300.0,16889.3,16822.2,3333.16711892,31661.0
1513123200,16894.3,17199.9,15717.0,16150.1,16548.6,3288.35052657,27935.0
1513209600,16135.3,16698.5,15825.7,16376.1,16285.4,2915.61472553,20440.0
1513296000,16376.6,17950.0,16323.3,17500.0,17334.4,3473.16362203,21025.0
1513382400,17500.0,19500.0,17343.0,19356.9,18405.9,2758.74152106,24740.0
1513468800,19356.9,19660.0,18567.1,18920.6,19137.1,3129.8894365,23268.0
1513555200,18920.6,19289.0,18298.5,18833.1,18682.5,3359.23886875,25617.0
1513641600,18832.8,18946.8,16723.5,17600.5,18099.4,4161.24087891,28930.0
1513728000,17593.5,17724.5,15501.2,16220.7,16515.5,6042.25468999,39024.0
1513814400,16217.7,16950.0,14315.0,15180.0,15692.3,4038.17132604,33071.0
1513900800,15184.3,15442.3,11205.0,13874.1,13309.7,11051.8050152,48794.0
1513987200,13874.1,15600.0,13499.9,14560.9,14739.0,3831.47848784,28164.0
1514073600,14569.4,14841.8,12500.0,13760.0,13513.5,3438.96006858,25949.0
1514160000,13760.0,14512.0,13030.0,13865.0,13876.4,2454.50188473,20078.0
1514246400,13865.0,16249.0,13763.0,15814.5,15430.7,3622.53308714,21862.0
1514332800,15814.5,16555.2,14624.0,15445.9,15631.3,3771.65844893,23181.0
1514419200,15445.9,15550.0,13733.1,14548.8,14402.7,4404.07137032,23659.0
1514505600,14566.1,15198.5,14250.0,14400.8,14654.6,3191.41529642,24852.0
1514592000,14400.8,14438.8,12132.4,12600.0,13213.8,4403.64019833,28119.0
1514678400,12600.0,14299.0,12500.0,13990.0,13436.6,2003.73315973,16771.0
1514764800,13971.1,14442.9,13050.0,13506.1,13686.9,2084.34979851,14844.0
1514851200,13506.1,15300.0,13088.8,14882.0,14144.7,3097.33461377,18293.0
1514937600,14882.0,15599.7,14701.9,15185.7,15091.9,2620.88403171,17193.0
1515024000,15186.7,15500.1,14417.1,15266.6,14962.3,3118.79347514,23289.0
1515110400,15266.6,17000.0,14961.0,16990.0,15981.6,3505.46544244,23134.0
1515196800,16990.0,17245.0,16167.5,17088.0,16683.6,2126.63751312,16812.0
1515283200,17088.0,17100.0,15665.0,16128.4,16414.4,2177.20369278,16577.0
1515369600,16128.4,16130.1,13500.0,15022.6,15034.5,3765.32625085,22942.0
1515456000,15016.9,15440.7,14230.7,14516.6,14921.3,2569.27075183,18831.0
1515542400,14508.5,14979.0,13525.0,14937.6,14188.1,3756.98046232,22430.0
1515628800,14907.0,15055.0,12848.0,13647.9,13605.7,1991.69598394,9954.0
1515715200,13503.0,13503.0,13503.0,13503.0,13503.0,0.005,5.0
1515801600,14101.0,17200.0,13867.0,14400.0,14445.8,1152.23199201,12110.0
1515888000,14396.3,14500.0,13209.6,13711.2,13760.9,2273.95226381,26515.0
1515974400,13711.1,14438.9,13207.0,13608.3,13902.5,3295.39544813,30101.0
1516060800,13608.3,13633.1,10111.0,11533.2,11784.9,10021.9238199,60609.0
1516147200,11533.9,11968.9,9225.0,11185.0,10577.2,10735.82188652,67213.0
1516233600,11191.0,12262.3,10750.0,11286.0,11608.4,7721.40991284,58693.0
1516320000,11286.1,12040.0,11036.4,11598.1,11567.7,5515.38152214,45377.0
1516406400,11599.0,13079.6,11539.1,12845.9,12490.3,4523.59269153,37095.0
1516492800,12845.9,12845.9,11146.0,11556.0,11848.2,4677.56308317,45352.0
1516579200,11556.0,11968.5,10000.0,10811.3,10927.2,5133.10693755,57411.0
1516665600,10811.3,11456.0,10001.0,10849.9,10796.3,5067.03305339,46533.0
1516752000,10850.0,11500.0,10529.0,11419.8,11043.8,4144.01768313,40683.0
1516838400,11419.8,11760.1,10899.0,11159.3,11290.7,4607.94040696,38733.0
1516924800,11159.3,11634.2,10320.0,11080.8,10914.8,7680.88569038,59173.0
1517011200,11080.8,11595.0,10850.0,11386.0,11278.7,5943.53837824,45372.0
1517097600,11380.2,11932.7,11100.0,11629.9,11619.8,5972.08431347,46256.0
1517184000,11633.9,11708.3,11015.0,11150.0,11263.9,4209.31127065,38648.0
1517270400,11150.0,11200.0,9750.3,9979.8,10359.5,10679.55437752,60551.0
1517356800,9979.8,10331.0,9513.1,10101.6,9927.9,8867.80880981,56940.0
1517443200,10101.6,10180.9,8525.3,9037.6,9230.8,14656.68151253,60114.0
1517529600,9037.6,9155.0,7606.0,8772.6,8458.4,18572.4774678,76368.0
1517616000,8772.6,9463.7,8022.9,9167.9,8900.2,8118.50885987,37563.0
1517702400,9178.0,9346.0,7751.2,8130.2,8538.9,5317.2915478,23364.0
1517788800,8130.2,8349.3,6530.0,6843.7,7259.2,16114.24615343,53927.0
1517875200,6843.7,7950.0,5850.0,7677.0,6778.1,28749.57566659,91097.0
1517961600,7676.1,8644.1,7125.1,7559.0,7904.2,15778.71540719,50934.0
1518048000,7552.4,8638.4,7543.0,8231.0,8194.8,10671.10318796,33383.0
1518134400,8239.7,8749.9,7750.0,8680.1,8277.9,10628.39103972,33530.0
1518220800,8680.1,9080.0,8139.4,8555.7,8624.4,10633.65116159,38162.0
1518307200,8554.0,8555.4,7842.0,8056.1,8164.1,8104.06709825,29222.0
1518393600,8063.8,8988.0,8059.9,8906.3,8652.1,7894.13699232,28164.0
1518480000,8897.6,8933.7,8385.0,8517.7,8616.8,6411.5345649,24930.0
1518566400,8520.0,9520.6,8519.4,9489.7,9101.9,7004.20711822,29409.0
1518652800,9475.7,10247.0,9330.1,10037.0,9858.1,9682.24238483,37762.0
1518739200,10044.4,10325.1,9689.0,10188.5,10034.1,6454.08976627,25063.0
1518825600,10188.5,11131.9,10056.7,11100.0,10702.1,7380.93784998,32469.0
1518912000,11100.0,11308.8,10205.0,10430.0,10753.5,9183.53515963,51256.0
1518998400,10430.0,11269.5,10371.0,11165.1,10939.9,5688.90126809,29464.0
1519084800,11165.1,11790.1,11100.0,11242.3,11486.3,6608.16663635,29088.0
1519171200,11231.2,11300.0,10236.2,10479.6,10832.7,8918.05528644,32704.0
1519257600,10479.6,10976.0,9712.1,9842.4,10168.1,8627.31955663,27511.0
1519344000,9842.4,10438.6,9550.9,10157.7,10009.5,10597.12774438,35258.0
1519430400,10147.9,10578.7,9363.0,9688.0,9911.0,8764.76872922,31806.0
1519516800,9688.0,9887.1,9310.1,9580.0,9568.0,7456.22581474,29255.0
1519603200,9580.0,10471.0,9386.7,10322.1,9994.6,9117.0625545,30488.0
1519689600,10326.8,10878.9,10123.7,10551.0,10583.7,6897.0396101,24272.0
1519776000,10551.0,11081.4,10260.1,10310.0,10615.5,8531.67684038,29774.0
1519862400,10309.0,11079.3,10130.0,10920.0,10671.6,7852.27407536,27856.0
1519948800,10920.0,11190.0,10800.0,11031.3,10984.5,5421.47919253,20579.0
1520035200,11031.3,11528.9,11031.3,11428.0,11357.5,4944.44780197,21942.0
1520121600,11428.0,11539.0,11062.1,11512.1,11259.6,4149.24897994,19640.0
1520208000,11503.1,11666.4,11400.8,11433.9,11526.4,4909.91509917,23788.0
1520294400,11432.9,11438.0,10550.1,10731.5,10947.2,10018.32245753,29986.0
1520380800,10718.4,10899.0,9388.1,9903.0,10126.2,14471.78176587,41472.0
1520467200,9903.0,10120.7,9000.0,9279.9,9577.7,11725.82958676,35912.0
1520553600,9290.1,9427.9,8400.0,9244.5,8886.6,19451.81845846,57033.0
1520640000,9224.5,9515.2,8653.0,8752.0,9152.2,10993.6672001,71495.0
1520726400,8762.3,9745.0,8434.1,9526.2,9090.1,13887.8296224,47190.0
1520812800,9533.7,9899.9,8755.0,9102.8,9326.5,13106.41419373,47464.0
1520899200,9109.9,9477.0,8812.5,9141.3,9140.5,10784.33201886,40917.0
1520985600,9141.3,9370.9,7900.0,8174.2,8542.0,16331.9264774,50998.0
1521072000,8175.9,8425.0,7621.4,8248.6,8050.6,16542.39455788,48606.0
1521158400,8248.6,8615.0,7859.4,8251.0,8283.1,11977.77050757,38759.0
1521244800,8260.0,8340.0,7700.0,7843.4,8014.9,11663.48026867,40068.0
1521331200,7839.1,8249.1,7305.0,8183.2,7649.7,18588.71547497,54348.0
1521417600,8183.2,8780.0,8064.0,8610.2,8356.8,14958.08256243,46295.0
1521504000,8600.0,9037.0,8305.2,8912.0,8668.2,12610.92215199,36773.0
1521590400,8912.0,9189.8,8750.0,8880.0,8951.8,10571.30464218,32589.0
1521676800,8879.0,9116.2,8487.0,8711.5,8771.1,9023.55414375,26669.0
1521763200,8710.0,8934.9,8265.0,8916.8,8522.6,9577.16553937,27797.0
1521849600,8917.4,9030.0,8480.0,8530.0,8813.5,6878.03156606,21682.0
1521936000,8532.7,8678.0,8368.8,8444.4,8519.9,6076.19576525,16550.0
1522022400,8444.4,8499.7,7850.0,8137.8,8136.4,10150.47150298,29621.0
1522108800,8137.8,8230.0,7708.6,7786.7,7945.4,10179.26869508,27004.0
1522195200,7786.7,8114.5,7728.3,7943.3,7914.7,6409.57591469,18419.0
1522281600,7943.3,7975.0,6900.0,7080.1,7371.6,20895.70910605,50546.0
1522368000,7084.8,7244.0,6550.0,6804.0,6855.7,20857.68328036,55667.0
1522454400,6804.0,7199.7,6773.9,6911.1,6996.7,9318.5783671,27019.0
1522540800,6911.1,7037.0,6449.4,6810.0,6683.8,13276.07288284,31353.0
1522627200,6810.0,7134.9,6761.0,7054.7,6983.2,8333.81724457,20722.0
1522713600,7054.6,7529.7,7013.1,7414.8,7343.2,9473.55631587,27279.0
1522800000,7410.1,7432.7,6699.0,6790.4,7014.1,11041.00178963,29681.0
1522886400,6790.4,6935.8,6551.8,6763.5,6737.6,11046.99114636,26396.0
1522972800,6763.6,6848.0,6505.0,6616.2,6627.3,7304.35734635,16738.0
1523059200,6613.9,7077.7,6602.2,6893.1,6894.3,6684.72091985,19825.0
1523145600,6893.1,7113.6,6878.6,7014.5,6993.1,4464.73727071,10695.0
1523232000,7014.5,7186.1,6608.3,6773.4,6844.3,9945.51677003,23512.0
1523318400,6773.4,6888.0,6646.8,6830.0,6780.1,4965.88934736,12856.0
1523404800,6829.9,6969.0,6798.0,6941.0,6887.1,4106.75996618,12316.0
1523491200,6940.9,8500.0,6759.0,7919.9,7542.2,15139.23731092,37957.0
1523577600,7919.9,8240.4,7741.0,7882.5,8001.0,10669.71015032,27941.0
1523664000,7882.4,8215.3,7816.2,8004.9,8023.4,5013.16479984,14050.0
1523750400,8004.9,8422.0,7996.6,8363.3,8265.3,4067.77521854,13722.0
1523836800,8363.3,8429.8,7902.0,8057.1,8092.0,5906.32683407,16451.0
1523923200,8057.1,8181.4,7800.3,7893.1,8020.8,5197.57996383,14421.0
1524009600,7893.1,8308.0,7865.0,8170.0,8075.4,5577.11037823,15732.0
1524096000,8170.6,8308.0,8099.7,8275.7,8217.8,3583.29537652,12875.0
1524182400,8267.5,8943.8,8226.0,8875.0,8523.4,7749.02248547,25222.0
1524268800,8875.1,9075.0,8629.3,8944.6,8828.9,4859.80245922,18078.0
1524355200,8939.7,9072.0,8760.5,8811.8,8917.5,4049.59962766,14047.0
1524441600,8811.8,9032.1,8784.9,8954.1,8911.5,4291.092669,11202.0
1524528000,8959.0,9749.0,8947.0,9661.7,9340.3,8904.02848288,27340.0
1524614400,9661.7,9750.0,8767.0,8855.7,9191.7,14048.63249021,40233.0
1524700800,8857.0,9300.0,8555.0,9291.4,8880.7,7638.16586358,21724.0
1524787200,9281.7,9381.9,8891.8,8917.8,9193.3,6206.90034304,18237.0
1524873600,8917.8,9437.2,8865.0,9339.2,9257.5,4802.20850146,16527.0
1524960000,9328.1,9538.0,9165.0,9411.2,9368.3,3800.97343832,14460.0
1525046400,9411.2,9453.9,9110.7,9243.2,9276.0,4135.39593872,15386.0
1525132800,9246.5,9246.5,8830.0,9081.3,8994.3,5955.92210715,19075.0
1525219200,9081.3,9262.0,8979.0,9217.1,9122.7,3876.81990949,13046.0
1525305600,9217.1,9799.9,9170.1,9735.9,9481.9,5992.50728107,21278.0
1525392000,9731.1,9779.9,9511.0,9688.9,9649.2,4244.28722653,15143.0
1525478400,9687.9,9962.0,9465.0,9795.0,9798.7,3999.87926742,16456.0
1525564800,9795.0,9899.0,9364.0,9604.9,9597.5,3174.13105579,15252.0
1525651200,9605.0,9626.8,9200.0,9360.6,9334.6,3903.32012949,14839.0
1525737600,9360.6,9458.6,9050.0,9172.7,9232.5,3183.67436477,12439.0
1525824000,9178.3,9464.1,8960.0,9305.4,9199.3,4520.08656001,13333.0
1525910400,9305.4,9395.9,8990.5,9011.0,9231.0,3113.99145437,10335.0
1525996800,9011.0,9011.0,8325.0,8407.8,8662.1,6857.08329131,25941.0
1526083200,8411.0,8649.9,8223.2,8479.0,8406.8,5044.43903876,16648.0
1526169600,8478.8,8749.6,8317.9,8698.2,8552.1,3361.11079837,11396.0
1526256000,8698.2,8886.3,8286.3,8660.8,8615.1,5620.07615944,18592.0
1526342400,8660.8,8862.0,8421.0,8462.8,8612.6,3875.26010515,13826.0
1526428800,8462.8,8494.0,8077.3,8344.9,8259.8,6332.93376757,16012.0
1526515200,8345.8,8398.3,7978.8,8064.0,8217.2,3992.71834425,10631.0
1526601600,8064.0,8280.0,7932.5,8231.9,8090.6,4061.44740601,13200.0
1526688000,8231.9,8394.0,8160.2,8233.8,8259.3,2247.53984882,8023.0
1526774400,8229.9,8596.7,8147.9,8518.9,8428.4,2610.53133912,9875.0
1526860800,8518.9,8596.5,8292.4,8390.8,8444.7,2902.60798901,8586.0
1526947200,8390.8,8408.0,7938.4,7989.1,8186.2,4213.60304265,12225.0
1527033600,7989.2,8038.2,7440.6,7500.3,7727.3,7447.22162218,21352.0
1527120000,7500.3,7725.0,7255.0,7572.0,7492.3,6483.49187283,15738.0
1527206400,7575.7,7650.0,7286.7,7466.0,7459.5,4734.89128592,12586.0
1527292800,7466.0,7634.9,7215.0,7330.0,7464.1,2485.00438268,7878.0
1527379200,7325.0,7388.0,7212.1,7325.9,7296.6,2116.6755897,6730.0
1527465600,7325.9,7447.9,7070.5,7102.6,7229.1,4174.00825789,12558.0
1527552000,7102.6,7530.3,7051.0,7462.6,7320.2,4828.09385383,12925.0
1527638400,7462.8,7568.3,7260.0,7374.9,7421.2,3760.92107508,9983.0
1527724800,7374.9,7599.3,7330.2,7485.6,7503.4,3358.27326708,8544.0
1527811200,7485.6,7599.1,7350.0,7504.2,7468.1,3044.97604975,8591.0
1527897600,7504.2,7693.6,7434.3,7636.1,7611.4,2475.22107012,8408.0
1527984000,7636.1,7780.0,7589.4,7716.8,7699.7,1953.83924849,7080.0
1528070400,7716.8,7759.1,7442.0,7495.5,7559.4,3146.34685613,9603.0
1528156800,7495.5,7677.1,7350.0,7622.0,7498.8,3451.89189003,10377.0
1528243200,7622.0,7695.0,7482.6,7659.8,7587.9,2955.47825586,7499.0
1528329600,7659.8,7750.0,7630.0,7679.4,7690.2,1975.44040586,6010.0
1528416000,7679.4,7700.0,7530.9,7611.9,7622.6,2073.02191196,7919.0
1528502400,7611.9,7679.6,7455.1,7495.1,7588.7,1276.5830428,4872.0
1528588800,7495.1,7496.8,6621.7,6767.9,6986.9,7667.36414831,22854.0
1528675200,6767.9,6899.7,6629.0,6877.0,6761.8,3811.61326949,11560.0
1528761600,6877.0,6885.6,6450.0,6547.2,6679.1,4724.84788943,13689.0
1528848000,6547.2,6634.3,6122.1,6294.2,6358.9,7130.20933465,17237.0
1528934400,6295.7,6734.8,6264.4,6640.7,6501.6,7046.89656742,16149.0
1529020800,6636.3,6678.1,6355.1,6387.6,6530.9,3927.75658813,10132.0
1529107200,6388.0,6550.0,6324.2,6481.4,6451.7,2365.44937691,6884.0
1529193600,6480.8,6574.6,6425.0,6440.8,6499.8,1638.06699232,4166.0
1529280000,6440.8,6800.0,6359.1,6706.6,6575.8,3636.49387722,8883.0
1529366400,6706.6,6854.3,6658.6,6740.2,6730.3,2759.38739867,6808.0
1529452800,6740.2,6814.0,6515.0,6755.4,6679.2,3586.91666425,9141.0
1529539200,6755.4,6787.6,6679.0,6716.1,6729.4,2105.95290865,5808.0
1529625600,6716.1,6725.3,5950.0,6055.5,6253.7,8628.476542,22815.0
1529712000,6055.5,6292.4,6034.7,6154.1,6133.5,3564.58549936,10161.0
1529798400,6154.1,6275.0,5650.0,6150.1,5990.5,9238.71924383,19967.0
1529884800,6150.1,6341.4,6066.0,6245.5,6209.3,4188.43202181,10493.0
1529971200,6245.5,6278.8,6033.3,6081.3,6172.4,3434.15813453,8355.0
1530057600,6072.4,6239.9,6000.0,6134.2,6102.5,3990.63263912,8780.0
1530144000,6134.2,6161.1,5820.0,5858.6,6021.6,3611.89930119,8652.0
1530230400,5853.4,6309.0,5787.7,6196.9,5958.2,5131.78051918,12368.0
1530316800,6196.9,6525.0,6190.5,6387.9,6375.5,3454.25901766,9501.0
1530403200,6387.0,6433.3,6254.3,6345.8,6345.9,1940.38940675,5520.0
1530489600,6345.8,6678.7,6275.0,6617.7,6526.6,3636.66673077,9390.0
1530576000,6618.7,6670.0,6467.6,6495.5,6571.5,2754.87114693,8398.0
1530662400,6497.0,6790.0,6399.8,6584.2,6585.2,3811.89849172,9535.0
1530748800,6587.0,6715.2,6450.0,6526.2,6578.6,3316.81460343,8322.0
1530835200,6526.2,6639.2,6450.0,6595.4,6547.5,2358.11624029,8874.0
