,open,high,low,close,vwap,volume,count
1518652800,0.017073,0.017073,0.017073,0.017073,0.0,0.0,0.0
1518739200,0.017073,0.41,0.017073,0.36,0.405587,4079.36292683,5.0
1518825600,0.36,0.51,0.36,0.49,0.474565,2298687.89535643,949.0
1518912000,0.49,0.499,0.41601,0.4301,0.454555,2219250.13185427,1186.0
1518998400,0.4301,0.454,0.43,0.447083,0.447998,1270865.32153683,731.0
1519084800,0.447083,0.45624,0.386,0.389,0.429306,2974680.15606662,1273.0
1519171200,0.386208,0.4248,0.362001,0.373401,0.384142,5154938.76682641,1502.0
1519257600,0.373401,0.397699,0.335929,0.3498,0.361258,3054358.57994954,1190.0
1519344000,0.3498,0.388989,0.334701,0.366019,0.362857,3708651.2936467,1232.0
1519430400,0.366103,0.377869,0.33,0.3476,0.345634,3457237.58471224,1124.0
1519516800,0.3476,0.3599,0.327,0.350099,0.341562,4717859.59400331,1346.0
1519603200,0.350099,0.371749,0.334701,0.3555,0.355658,3073521.59012791,1410.0
1519689600,0.356276,0.4,0.34831,0.3574,0.364714,3028301.36596272,1174.0
1519776000,0.356,0.365976,0.33,0.330001,0.345127,2639288.25532933,948.0
1519862400,0.330001,0.359,0.31,0.340579,0.33403,2934097.67629585,1222.0
1519948800,0.335611,0.34,0.317704,0.32,0.323961,2286263.61478327,956.0
1520035200,0.32,0.35,0.31101,0.347399,0.328054,4029493.83834998,1472.0
1520121600,0.347399,0.366598,0.337522,0.363,0.352758,4739527.20592468,2138.0
1520208000,0.362952,0.41,0.348,0.348,0.377871,7233837.94778388,2545.0
1520294400,0.348,0.368499,0.32,0.3329,0.344738,4643565.03974862,1663.0
1520380800,0.3329,0.349999,0.29,0.325168,0.32048,8595334.27710327,2624.0
1520467200,0.325168,0.33988,0.300002,0.306499,0.315836,4294331.29192527,1516.0
1520553600,0.306499,0.312499,0.260401,0.305571,0.282164,9583623.5615375,2690.0
1520640000,0.305571,0.318296,0.281001,0.287913,0.29909,3551567.6368421,1428.0
1520726400,0.287913,0.304698,0.270051,0.301762,0.290487,2350506.71164442,1269.0
1520812800,0.301762,0.3085,0.277101,0.286,0.290819,2623357.23753325,1188.0
1520899200,0.287399,0.29824,0.2767,0.2851,0.285603,1662582.37798207,939.0
1520985600,0.2851,0.29679,0.233206,0.242892,0.259106,6318735.34097532,2225.0
1521072000,0.242892,0.24774,0.204004,0.238042,0.228781,8357052.95047201,2744.0
1521158400,0.238042,0.2418,0.221001,0.2305,0.23478,3715971.75896623,1129.0
1521244800,0.229497,0.23461,0.197074,0.206304,0.209655,4845994.59719314,1296.0
1521331200,0.206304,0.222,0.157,0.219299,0.180461,20199538.43130581,3843.0
1521417600,0.219299,0.258,0.20711,0.2479,0.229769,9478467.11399081,3209.0
1521504000,0.2479,0.284899,0.231201,0.2668,0.257246,7541043.98019639,3248.0
1521590400,0.26528,0.2722,0.243895,0.250104,0.257894,8806146.73369052,3115.0
1521676800,0.2486,0.256499,0.223001,0.24124,0.23932,4999530.85460885,2000.0
1521763200,0.24124,0.2413,0.2221,0.23596,0.229057,5882082.33110795,2127.0
1521849600,0.23596,0.245,0.2313,0.2318,0.239732,3178006.91091656,1411.0
1521936000,0.2318,0.24368,0.2292,0.239403,0.236327,2511474.14439125,984.0
1522022400,0.239403,0.245,0.213001,0.2276,0.225274,4882169.5214315,1984.0
1522108800,0.2276,0.22955,0.2012,0.214703,0.215751,8077367.36554512,2614.0
1522195200,0.213649,0.22609,0.213,0.218199,0.217586,2069074.77342964,934.0
1522281600,0.218199,0.219551,0.183001,0.189005,0.197855,12500431.82934064,3314.0
1522368000,0.189005,0.19983,0.172771,0.184274,0.183376,8445166.32338207,2771.0
1522454400,0.184274,0.2217,0.184274,0.203963,0.20354,5306984.18131845,2206.0
1522540800,0.203963,0.210469,0.177345,0.204,0.195644,5581967.83273936,1755.0
1522627200,0.204,0.235,0.202001,0.223399,0.22229,10080381.12269633,2502.0
1522713600,0.223396,0.23796,0.22302,0.230028,0.231142,8669083.51115204,2209.0
1522800000,0.230541,0.233594,0.1986,0.202597,0.217641,8837532.97266823,2088.0
1522886400,0.202597,0.2071,0.19,0.1955,0.194784,9357313.71855527,2227.0
1522972800,0.1955,0.19895,0.1879,0.192684,0.192358,2721626.14492283,1076.0
1523059200,0.192684,0.20769,0.19152,0.20074,0.201665,4491887.92363308,1217.0
1523145600,0.20074,0.209998,0.200203,0.2049,0.20431,968736.99071982,510.0
1523232000,0.2049,0.213817,0.19047,0.195331,0.201664,3182140.61381788,1174.0
1523318400,0.195331,0.204899,0.194843,0.198008,0.198634,2222266.49538134,609.0
1523404800,0.198008,0.214,0.19612,0.2134,0.204609,7096578.74846834,1214.0
1523491200,0.2134,0.247769,0.20558,0.246448,0.222738,13752969.46377177,3288.0
1523577600,0.2463,0.270587,0.23248,0.247083,0.252458,14018360.54786182,3946.0
1523664000,0.247083,0.264509,0.24122,0.254944,0.252926,3135654.79707969,1208.0
1523750400,0.254944,0.3045,0.253997,0.295,0.285776,10331189.96784081,3188.0
1523836800,0.295,0.30929,0.270001,0.2859,0.283166,8597944.59015986,2689.0
1523923200,0.2859,0.32,0.2615,0.3008,0.301637,15248975.88295429,3838.0
1524009600,0.3008,0.35988,0.2918,0.3538,0.331627,13529057.29056249,4080.0
1524096000,0.3538,0.38,0.346,0.3673,0.362464,16006621.56766708,4426.0
1524182400,0.3673,0.401878,0.3145,0.393,0.37415,19901918.54341557,5286.0
1524268800,0.393,0.40246,0.342,0.3733,0.375935,6721445.62991735,3018.0
1524355200,0.3733,0.3867,0.361805,0.366083,0.375653,3692451.21597294,1560.0
1524441600,0.366083,0.37888,0.363125,0.3733,0.370365,2567240.17122153,1225.0
1524528000,0.3733,0.41,0.369645,0.39751,0.393086,8448758.54114718,3308.0
1524614400,0.39751,0.40244,0.32101,0.3362,0.352664,15030213.31447558,5417.0
1524700800,0.335666,0.386888,0.32683,0.385,0.368874,7831743.15466261,3102.0
1524787200,0.385,0.42438,0.381149,0.382,0.406214,9381181.76699899,3919.0
1524873600,0.382,0.43444,0.315,0.429635,0.402619,8702884.42678702,3429.0
1524960000,0.429635,0.462,0.41389,0.456,0.443415,7672321.27656078,3306.0
1525046400,0.456,0.458887,0.4111,0.424,0.429643,3861762.69665107,1960.0
1525132800,0.423999,0.4498,0.3877,0.439,0.418762,11121721.2605791,4094.0
1525219200,0.439,0.447509,0.43,0.439986,0.438892,3039096.71700557,1703.0
1525305600,0.439987,0.442969,0.427,0.436,0.432959,7881929.36062622,3029.0
1525392000,0.436,0.437991,0.42,0.4295,0.430122,2826682.00271718,1385.0
1525478400,0.4295,0.4343,0.42097,0.426006,0.429006,2172108.80482715,1130.0
1525564800,0.426006,0.430062,0.4,0.408488,0.410847,2501536.53828265,1489.0
1525651200,0.408489,0.409984,0.372349,0.394192,0.387922,3616312.734262,1663.0
1525737600,0.394192,0.41,0.3713,0.38229,0.388471,3834574.57673561,1274.0
1525824000,0.38229,0.386,0.356006,0.37,0.36935,4585826.38592248,1585.0
1525910400,0.37,0.3838,0.3455,0.3457,0.363011,2647363.54082984,1153.0
1525996800,0.3457,0.35077,0.297,0.31,0.319922,10505930.57012653,3996.0
1526083200,0.31,0.3624,0.298014,0.35725,0.331158,5942888.13602921,2239.0
1526169600,0.35725,0.378,0.34908,0.36902,0.362119,4077212.27345768,1840.0
1526256000,0.369001,0.38,0.34055,0.3634,0.360032,3831329.18719005,1652.0
1526342400,0.3634,0.371983,0.34152,0.342,0.35901,3453294.39529965,894.0
1526428800,0.342,0.3424,0.31644,0.3316,0.326166,8990188.61129822,2067.0
1526515200,0.3316,0.34,0.30237,0.305602,0.321225,2030191.88287947,875.0
1526601600,0.305602,0.3193,0.298843,0.317,0.30771,1839581.18752091,699.0
1526688000,0.317,0.32719,0.30787,0.311501,0.317324,1079647.34633416,432.0
1526774400,0.312405,0.33326,0.312209,0.326054,0.321857,3584473.15677095,782.0
