,open,high,low,close,vwap,volume,count
1511308800,140.3,173.93,140.28,166.5,155.23,17871.4410539,3322.0
1511395200,166.5,174.0,156.0,158.0,163.92,10473.98532802,1968.0
1511481600,158.0,162.12,152.5,157.56,157.41,3844.09388011,685.0
1511568000,157.56,169.7,157.53,168.0,165.02,3906.76625296,896.0
1511654400,167.03,167.82,157.02,161.68,161.12,4424.53944489,940.0
1511740800,161.8,168.77,157.0,167.47,162.0,4415.60938905,818.0
1511827200,167.69,194.99,167.5,194.94,179.23,9730.93408336,1955.0
1511913600,194.99,205.0,156.23,166.57,185.8,12399.24626876,3013.0
1512000000,166.57,189.0,151.52,179.29,171.21,10286.68623191,2532.0
1512086400,177.16,188.2,165.0,185.9,178.98,4743.03759419,1573.0
1512172800,185.9,195.0,180.0,194.98,187.59,5981.06796996,1858.0
1512259200,195.0,204.0,188.13,196.94,198.64,7170.89148978,2091.0
1512345600,196.47,203.79,185.0,203.5,197.91,4237.19030896,1542.0
1512432000,203.5,249.95,202.5,249.17,227.06,19753.68288417,4864.0
1512518400,249.19,299.53,248.5,257.11,272.86,15335.77988868,4833.0
1512604800,257.11,282.6,242.01,255.9,256.95,7499.6034246,3075.0
1512691200,255.91,275.1,241.1,263.56,257.92,5896.22524426,2252.0
1512777600,263.56,269.02,245.01,254.65,259.84,6942.06046299,2852.0
1512864000,254.65,255.9,222.56,239.04,236.49,9589.81181904,4567.0
1512950400,239.04,270.0,237.6,267.26,257.21,10294.01411327,4957.0
1513036800,267.26,299.53,267.01,293.01,285.25,14299.29767065,5361.0
1513123200,293.04,325.0,275.0,291.2,299.71,11002.76978155,4691.0
1513209600,299.01,330.0,295.0,318.0,314.16,9967.08861811,3046.0
1513296000,318.0,324.9,291.22,309.45,305.22,6415.25547718,2490.0
1513382400,309.45,329.5,308.0,326.11,319.6,4911.04899424,3376.0
1513468800,326.11,357.17,325.11,341.4,342.13,6834.28613946,3344.0
1513555200,341.4,384.0,325.03,373.59,355.22,9186.76099964,4041.0
1513641600,373.59,396.0,341.4,366.5,369.18,9336.04434309,3546.0
1513728000,366.5,469.5,341.32,467.77,399.8,15988.31227691,6041.0
1513814400,465.46,469.0,373.01,410.0,429.08,8909.53300744,4963.0
1513900800,410.0,416.26,245.1,345.16,332.17,18220.65796867,6006.0
1513987200,345.16,410.0,328.96,362.04,360.29,8891.02546207,4193.0
