,open,high,low,close,vwap,volume,count
1511308800,0.23218,0.2448,0.23203,0.239,0.23711,6562714.67076939,2567.0
1511395200,0.239,0.24883,0.23689,0.2413,0.24161,9133029.57551259,2525.0
1511481600,0.24189,0.24489,0.2324,0.24,0.23801,6945932.18346295,2562.0
1511568000,0.24,0.2499,0.2371,0.24844,0.24523,6454754.0299846,2725.0
1511654400,0.24822,0.25,0.24299,0.24578,0.24582,4866967.58881041,2176.0
1511740800,0.24578,0.2485,0.24211,0.245,0.24436,5987811.69597716,2351.0
1511827200,0.245,0.27965,0.243,0.279,0.25873,15800839.10013487,5181.0
1511913600,0.278,0.27964,0.23101,0.2387,0.25691,21999575.52484801,8218.0
1512000000,0.2387,0.2499,0.22,0.24,0.23707,12060847.43410888,5132.0
1512086400,0.24,0.26682,0.229,0.25345,0.24484,7666406.2558017,3626.0
1512172800,0.25345,0.25345,0.24101,0.2441,0.24738,4364132.84534858,2744.0
1512259200,0.2441,0.26,0.242,0.24565,0.25039,5712562.7915124,2973.0
1512345600,0.24555,0.25444,0.242,0.25,0.24687,5291367.36630511,2721.0
1512432000,0.25,0.25117,0.24,0.24184,0.24344,9303695.50852241,4209.0
1512518400,0.24184,0.2425,0.224,0.22719,0.23287,10891025.46065384,5010.0
1512604800,0.224,0.2374,0.21,0.21002,0.21906,12107223.26213248,4209.0
1512691200,0.21002,0.25,0.205,0.23809,0.23303,15584792.05732082,6014.0
1512777600,0.23798,0.249,0.2296,0.2373,0.24054,8828545.08580535,3999.0
1512864000,0.23702,0.23997,0.2222,0.22802,0.23289,4512159.46925847,3593.0
1512950400,0.22802,0.2481,0.22802,0.24336,0.24244,8655421.28062577,5100.0
1513036800,0.24336,0.41,0.243,0.343,0.30589,39350638.44944016,14797.0
1513123200,0.34298,0.499,0.32,0.47884,0.43118,37917550.38003957,17400.0
1513209600,0.47884,0.89999,0.46,0.87,0.66408,33192365.53008829,17160.0
1513296000,0.8769,0.885,0.6,0.74898,0.75674,20619081.81520504,12932.0
1513382400,0.74898,0.835,0.732,0.74711,0.76671,12911213.14437247,11529.0
1513468800,0.74711,0.78574,0.7,0.71884,0.73525,11931190.08777886,9585.0
1513555200,0.714,0.8,0.66001,0.75102,0.7335,14263053.94321504,10425.0
1513641600,0.75936,0.84,0.72814,0.74797,0.7853,16884552.05462441,11625.0
1513728000,0.74797,0.76439,0.65,0.71953,0.70575,15422895.93938292,12191.0
1513814400,0.71954,1.17,0.705,1.10103,0.92398,39682725.79892867,24585.0
1513900800,1.10103,1.248,0.68,1.01,0.99179,42191012.25479354,24010.0
1513987200,1.01,1.0949,0.95,1.0317,1.04199,13551416.97632041,10800.0
1514073600,1.03,1.06,0.8575,0.9851,0.96372,14992452.24579247,10161.0
1514160000,0.9851,1.061,0.95,1.00004,0.99955,8114080.68747233,6740.0
1514246400,1.00004,1.0987,0.987,1.075,1.03531,8986049.0051668,7513.0
1514332800,1.075,1.3,1.06436,1.20687,1.16479,26339202.31746016,17275.0
1514419200,1.22505,1.298,1.15,1.279,1.23122,18562225.29720611,13704.0
1514505600,1.27822,1.95,1.27101,1.95,1.62651,41210145.29448455,31670.0
1514592000,1.95,2.48,1.78576,1.888,2.09218,42467620.08203589,32568.0
1514678400,1.9,2.1,1.60001,1.99004,1.86848,15687302.58341934,14589.0
1514764800,1.99004,2.1,1.82289,2.099,1.95368,7790706.39083444,7830.0
1514851200,2.07059,2.2199,1.93,2.20755,2.07715,12024619.59296149,10086.0
1514937600,2.2,2.9,2.188,2.78,2.51472,19496553.26680741,18087.0
1515024000,2.78004,3.34989,2.34421,2.59715,2.95293,28335088.42155686,27510.0
1515110400,2.6,3.0,2.15,2.65,2.60425,24463320.02270668,22456.0
1515196800,2.65,2.82537,2.45774,2.63248,2.65333,8682993.10844815,10413.0
1515283200,2.63248,2.78,2.55,2.763,2.6945,5114930.03065536,7406.0
1515369600,2.758,2.758,1.61001,2.40557,2.38068,14738289.78268589,13865.0
1515456000,2.39,2.50834,1.85,2.02336,2.18886,15130877.45753525,13659.0
