,open,high,low,close,vwap,volume,count
1539302400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539388800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539475200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539561600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1539561600,0.0,5.5,0.0,1.439,1.5325,175095.09620417,483.0
1539734400,1.439,1.47,1.35,1.414,1.3966,148809.78061937,457.0
1539820800,1.414,1.4955,1.294,1.295,1.3615,136332.45413726,541.0
1539907200,1.295,1.3452,1.2505,1.3032,1.2845,74952.64335719,251.0
1539993600,1.3032,1.3032,1.26,1.2981,1.2947,58588.69716739,210.0
1540080000,1.2981,1.3727,1.29,1.3249,1.3222,37408.20897933,169.0
1540166400,1.3249,1.4309,1.315,1.4134,1.3883,52460.19633032,216.0
1540252800,1.4154,1.4154,1.3474,1.383,1.3883,103004.21212097,283.0
1540339200,1.383,1.3889,1.3365,1.3401,1.3502,44728.18448258,165.0
1540425600,1.3401,1.3502,1.3085,1.3453,1.317,33458.11631799,131.0
1540512000,1.3453,1.379,1.32,1.3573,1.3506,30474.90789937,134.0
1540598400,1.3573,1.3615,1.3221,1.326,1.3368,12543.7270221,56.0
1540684800,1.326,1.36,1.326,1.34,1.3416,16234.32442324,112.0
1540771200,1.34,1.3423,1.257,1.257,1.2943,47129.24172196,318.0
1540857600,1.2721,1.3254,1.265,1.2821,1.2916,23670.41745539,135.0
1540944000,1.2821,1.2926,1.2602,1.2926,1.2742,34930.59454631,188.0
1541030400,1.2926,1.3122,1.2855,1.3049,1.2999,13815.53825318,93.0
1541116800,1.3049,1.3333,1.284,1.298,1.3041,67450.79146719,394.0
1541203200,1.298,1.3218,1.2836,1.317,1.3054,24875.41805445,161.0
1541289600,1.317,1.3665,1.2864,1.3346,1.3224,117386.42597755,600.0
1541376000,1.3346,1.3701,1.3079,1.3374,1.3365,115467.29326135,523.0
1541462400,1.3374,1.354,1.318,1.35,1.3342,58345.56737822,364.0
1541548800,1.35,1.3768,1.319,1.321,1.3381,108263.53691122,412.0
1541635200,1.3243,1.3365,1.3,1.3032,1.3093,86030.53443552,322.0
1541721600,1.3032,1.3258,1.2678,1.2864,1.2896,74954.44431627,276.0
1541808000,1.2864,1.3145,1.2782,1.2941,1.2938,17680.83142928,171.0
1541894400,1.2941,1.3248,1.286,1.3014,1.3041,21956.0285876,112.0
1541980800,1.3014,1.318,1.2502,1.2557,1.2675,119095.2313611,621.0
1542067200,1.2557,1.3343,1.2285,1.2428,1.2524,49820.16999938,266.0
1542153600,1.2428,1.257,1.033,1.086,1.1222,208938.98491596,586.0
1542240000,1.086,1.1315,1.0413,1.112,1.0787,152673.35352201,351.0
1542326400,1.112,1.3343,1.0854,1.1012,1.1389,87598.81732204,209.0
1542412800,1.1012,1.15,1.0548,1.0758,1.0946,109595.15275059,323.0
1542499200,1.0797,1.0902,1.06,1.065,1.0671,64282.13150043,117.0
1542585600,1.065,1.0786,0.75,0.8136,0.8658,830038.91490976,1180.0
1542672000,0.8136,0.86,0.62,0.7142,0.7491,898311.70279115,1777.0
1542758400,0.7142,0.7299,0.623,0.7169,0.6904,433729.0393468,680.0
1542844800,0.7169,0.7461,0.67,0.67,0.7153,184545.14094308,529.0
1542931200,0.67,0.679,0.6044,0.6204,0.6407,360920.41022559,779.0
1543017600,0.6204,0.6524,0.55,0.5702,0.5859,156526.0589881,438.0
1543104000,0.5702,0.6524,0.485,0.5942,0.5185,458752.56487901,748.0
1543190400,0.5942,0.6246,0.5331,0.5695,0.5733,191546.04533231,431.0
1543276800,0.5695,0.599,0.5356,0.5736,0.5552,150042.90395916,293.0
1543363200,0.5736,0.6295,0.5515,0.5984,0.5906,320440.31109232,740.0
1543449600,0.5984,0.5986,0.5,0.5495,0.5401,616515.18819707,715.0
1543536000,0.5495,0.5554,0.4626,0.49,0.501,337130.75466763,436.0
1543622400,0.49,0.51,0.4782,0.5019,0.4951,106609.7221641,243.0
1543708800,0.5019,0.5061,0.4661,0.4905,0.4777,57990.07062275,135.0
1543795200,0.4905,0.4905,0.4326,0.4403,0.4488,317913.80877233,351.0
1543881600,0.4403,0.485,0.4156,0.4276,0.4333,163441.41541607,249.0
1543968000,0.4276,0.4567,0.3751,0.3813,0.3915,275586.766485,387.0
1544054400,0.3813,0.45,0.3352,0.3462,0.3717,497402.72090538,587.0
1544140800,0.3462,0.3857,0.3125,0.3618,0.3362,398881.56448579,504.0
1544227200,0.3618,0.4998,0.3575,0.3851,0.3912,335929.96156569,346.0
1544313600,0.3851,0.4212,0.3823,0.397,0.4046,183693.45914737,321.0
1544400000,0.397,0.398,0.344,0.3507,0.3607,229139.90140187,326.0
1544486400,0.3507,0.3699,0.3476,0.3652,0.3591,116657.48368673,163.0
1544572800,0.3652,0.4183,0.3545,0.411,0.396,174283.66060207,334.0
1544659200,0.411,0.4451,0.3676,0.3676,0.3988,200031.96628648,317.0
1544745600,0.3676,0.38,0.35,0.37,0.3633,149010.08833325,194.0
1544832000,0.37,0.3878,0.3636,0.3878,0.3716,121440.23546506,168.0
1544918400,0.3878,0.4082,0.3768,0.3865,0.3938,56592.74687478,79.0
1545004800,0.3783,0.433,0.3783,0.4189,0.4107,45319.6574404,167.0
1545091200,0.4189,0.48,0.409,0.4429,0.429,211504.20747293,270.0
1545177600,0.4429,0.539,0.4193,0.4341,0.4546,403410.65828957,557.0
1545264000,0.4341,0.5,0.4341,0.4674,0.4823,246876.81281237,380.0
1545350400,0.4674,0.4831,0.4391,0.455,0.4568,217090.83867821,386.0
1545436800,0.455,0.4786,0.4451,0.4786,0.4578,29692.68117298,187.0
1545523200,0.4786,0.59,0.4786,0.5265,0.516,162729.13108103,234.0
1545609600,0.5265,0.5827,0.52,0.5305,0.5484,133159.56651265,195.0
1545696000,0.5305,0.5305,0.482,0.5016,0.5007,54573.4659804,166.0
1545782400,0.5016,0.5455,0.4941,0.512,0.5133,15253.33582936,54.0
1545868800,0.512,0.5292,0.4549,0.4549,0.4891,147848.06005021,225.0
1545955200,0.4549,0.54,0.4523,0.5082,0.5024,35491.10332942,198.0
1546041600,0.5082,0.5265,0.4872,0.4935,0.4969,63048.53039947,213.0
1546128000,0.4935,0.508,0.4736,0.4945,0.4858,74748.50308494,159.0
1546214400,0.4945,0.502,0.4419,0.45,0.4619,176728.17490919,245.0
1546300800,0.45,0.4757,0.441,0.4422,0.4544,159635.43580195,160.0
1546387200,0.4422,0.5479,0.4422,0.4822,0.4808,109740.36974266,438.0
1546473600,0.4822,0.4822,0.47,0.471,0.4746,49413.98841183,132.0
1546560000,0.471,0.4878,0.4603,0.4786,0.4682,44125.1584095,154.0
1546646400,0.4786,0.495,0.475,0.475,0.4821,27685.68817103,99.0
1546732800,0.475,0.5065,0.472,0.488,0.494,62570.28679186,144.0
1546819200,0.488,0.543,0.463,0.4735,0.4776,340959.071532,579.0
1546905600,0.4735,0.5478,0.468,0.4942,0.4969,181516.82072376,319.0
1546992000,0.4942,0.5065,0.4821,0.5065,0.4905,64719.92647548,275.0
1547078400,0.5065,0.515,0.4411,0.4412,0.4656,152956.33720075,391.0
1547164800,0.4412,0.4615,0.4411,0.445,0.447,41226.09426361,120.0
1547251200,0.445,0.4597,0.4102,0.4285,0.4261,74709.46011762,146.0
1547337600,0.4285,0.4285,0.383,0.3978,0.3992,40280.58039512,140.0
1547424000,0.3978,0.4331,0.3933,0.4199,0.4179,116669.06672493,186.0
1547510400,0.4199,0.4304,0.399,0.4014,0.4029,67661.20505548,131.0
1547596800,0.4014,0.4332,0.4001,0.4274,0.4203,42558.00241223,129.0
1547683200,0.4274,0.431,0.4187,0.4242,0.4281,69678.36299143,135.0
1547769600,0.4242,0.4513,0.4171,0.4337,0.4302,39801.72931735,130.0
1547856000,0.4337,0.47,0.4268,0.4358,0.448,103487.22679491,297.0
1547942400,0.4358,0.4475,0.4177,0.4252,0.4322,29679.76397789,127.0
1548028800,0.4252,0.4322,0.4043,0.4322,0.4167,15727.6703976,54.0
1548115200,0.4322,0.45,0.4057,0.4212,0.4271,36623.85901757,115.0
1548201600,0.4212,0.4454,0.406,0.445,0.4185,37462.98712626,104.0
1548288000,0.445,0.445,0.413,0.4444,0.4178,20659.83623873,49.0
1548374400,0.4444,0.4444,0.4,0.4073,0.4089,42764.96766967,95.0
1548460800,0.4073,0.416,0.4,0.4,0.4022,32184.53656417,55.0
1548547200,0.4,0.4029,0.391,0.391,0.3941,28122.533009,115.0
1548633600,0.391,0.399,0.32,0.37,0.3665,443141.32316305,451.0
1548720000,0.37,0.3812,0.3553,0.3643,0.3694,35434.03803522,83.0
1548806400,0.3643,0.3993,0.3626,0.3747,0.3824,83551.87931445,157.0
1548892800,0.3747,0.39,0.3691,0.3748,0.3801,31558.61504844,73.0
1548979200,0.3748,0.391,0.3692,0.3805,0.379,28559.05498997,63.0
1549065600,0.3805,0.391,0.37,0.37,0.3758,11905.62380031,71.0
1549152000,0.37,0.4099,0.3618,0.3618,0.3836,39926.65864935,111.0
1549238400,0.3618,0.4031,0.3571,0.363,0.3736,40455.58081854,83.0
1549324800,0.363,0.3797,0.363,0.3718,0.3717,8109.51146201,58.0
1549411200,0.3718,0.3718,0.355,0.3617,0.362,17216.37527711,70.0
1549497600,0.3617,0.38,0.359,0.3601,0.3614,10844.68230199,43.0
1549584000,0.3601,0.41,0.3568,0.3834,0.3937,177652.57348797,244.0
1549670400,0.3834,0.3949,0.3732,0.3783,0.3847,16508.17989612,65.0
1549756800,0.3783,0.4089,0.3653,0.3771,0.3834,46583.34248023,117.0
1549843200,0.3771,0.3864,0.3744,0.3761,0.3816,8213.68878086,28.0
