,open,high,low,close,vwap,volume,count
1511308800,287.63,323.6,287.63,316.8,309.35,2464.44392985,1407.0
1511395200,316.8,329.0,304.0,314.0,314.4,3358.76604375,1190.0
1511481600,314.0,350.0,298.95,335.13,314.25,6613.60748295,1954.0
1511568000,335.13,360.0,335.0,342.5,345.5,2735.65016154,1359.0
1511654400,342.5,346.57,325.1,336.31,336.34,1462.3303102,788.0
1511740800,336.3,347.99,325.1,338.07,335.26,2305.6537402,746.0
1511827200,338.07,360.0,330.0,357.95,348.18,4055.25048402,1370.0
1511913600,358.96,370.0,290.0,299.56,337.77,5460.99629569,2397.0
1512000000,299.56,325.29,265.01,301.46,299.59,4904.73035469,1749.0
1512086400,300.71,337.96,282.1,332.08,310.29,1545.52944192,1176.0
1512172800,332.08,339.0,313.0,326.0,325.7,1805.79984133,1147.0
1512259200,326.0,340.98,310.68,318.37,328.92,2237.29285562,1233.0
1512345600,318.4,332.0,310.0,326.0,319.46,1486.52185233,926.0
1512432000,326.0,329.0,275.0,320.32,316.44,1564.36271205,1045.0
1512518400,320.19,341.0,305.04,314.43,329.18,2838.2989082,2235.0
1512604800,314.98,332.0,287.0,287.01,305.34,3739.86796916,1639.0
1512691200,287.07,329.99,282.66,322.86,304.45,2769.5206232,1912.0
1512777600,322.86,339.86,305.0,307.72,325.49,2868.17808469,2304.0
1512864000,308.19,329.87,270.0,290.0,302.54,3300.44185683,2952.0
1512950400,290.0,320.0,290.0,312.94,311.54,2797.23409946,2559.0
1513036800,312.94,363.04,312.5,363.0,342.73,5287.75715174,4133.0
1513123200,362.98,432.0,350.0,415.2,388.09,6443.25749822,4336.0
1513209600,415.2,503.98,410.3,500.16,465.59,6667.33590301,4726.0
1513296000,500.15,500.56,410.11,462.0,452.15,3438.78660507,2536.0
1513382400,461.63,490.0,456.34,466.83,470.7,2825.9343612,3206.0
1513468800,466.83,547.7,465.08,523.0,506.5,4727.79822046,4300.0
1513555200,523.0,590.0,490.87,585.0,544.71,4885.07364105,3662.0
1513641600,584.95,634.99,533.0,593.5,576.99,5050.87976487,3232.0
1513728000,593.5,680.0,525.0,663.0,616.6,4282.50444524,3596.0
1513814400,653.89,784.0,566.0,684.93,667.51,4912.36758842,3806.0
1513900800,684.93,684.93,385.1,499.95,497.56,8358.93619452,4618.0
1513987200,499.95,606.0,499.87,541.32,560.43,4743.68703003,2748.0
1514073600,539.77,550.0,450.0,529.99,499.45,4885.72994522,3503.0
1514160000,529.99,600.0,516.48,525.36,538.63,2628.23871539,1667.0
1514246400,525.36,588.0,524.97,552.48,546.36,2273.75336083,1624.0
1514332800,552.48,565.26,505.0,517.67,534.5,2773.55326128,1791.0
1514419200,517.67,539.87,460.0,489.93,490.39,2171.02431123,1919.0
1514505600,489.5,555.0,470.27,521.23,511.42,3536.24887582,2654.0
1514592000,521.23,521.23,431.17,456.49,461.13,3794.60904589,2315.0
1514678400,454.77,492.11,450.0,478.67,473.37,1655.63095483,1363.0
1514764800,479.76,590.0,461.74,545.11,522.41,3581.94128121,2283.0
1514851200,545.11,589.76,531.02,563.19,559.23,3695.04463489,2063.0
1514937600,551.26,574.74,538.59,558.26,554.32,1974.77983847,1404.0
1515024000,559.64,573.0,522.0,549.56,546.35,2782.44772624,1993.0
1515110400,549.56,554.99,517.91,540.29,537.67,1887.96767366,1829.0
1515196800,540.29,691.59,527.27,665.0,606.06,4034.21887214,3277.0
1515283200,665.0,800.0,650.0,755.49,729.38,4952.97887653,4392.0
1515369600,752.04,752.04,585.84,692.0,681.58,3392.59757237,3050.0
1515456000,693.97,767.15,641.68,662.99,692.07,2461.6320437,2181.0
1515542400,664.44,749.43,623.0,717.49,669.33,2615.12726693,2229.0
1515628800,716.98,720.59,620.0,635.0,682.6,711.86826595,461.0
1515715200,635.0,635.0,635.0,635.0,0.0,0.0,0.0
1515801600,10.0,900.0,10.0,703.76,706.92,1256.91423321,1592.0
1515888000,703.76,722.0,641.54,670.32,667.01,3768.79703955,3988.0
1515974400,670.33,688.12,618.55,627.37,659.15,1574.95210438,2120.0
1516060800,627.37,694.97,460.36,522.43,552.02,10401.97340165,8259.0
1516147200,522.25,542.3,381.32,500.9,461.44,12968.79008057,8458.0
1516233600,500.9,549.74,482.12,487.17,519.58,3808.39745758,4170.0
1516320000,487.17,565.0,483.49,528.26,518.71,4081.29429018,4506.0
1516406400,529.0,565.0,514.33,559.37,542.77,2051.15497447,2031.0
1516492800,559.37,565.0,473.25,486.0,506.99,2333.13280491,2675.0
1516579200,486.0,509.95,407.26,444.27,452.43,3620.76984196,5083.0
1516665600,444.27,471.37,405.5,441.23,438.39,3609.79151313,4573.0
1516752000,441.23,465.0,426.0,457.34,444.83,1930.46528205,2600.0
1516838400,457.34,480.0,449.29,471.5,463.97,1859.67453264,2249.0
1516924800,471.5,493.16,425.03,452.8,452.49,1955.81144002,3172.0
1517011200,452.8,463.4,432.47,448.4,451.22,1392.40590777,2123.0
1517097600,448.4,472.75,448.4,469.72,462.35,1165.11504834,1578.0
